"","date","ndvi","year","month","treatment","reproductive","abundance","proportion","sex"
"1",1995-10-01,0.239257425533497,1995,10,"exclosure",0,1,0,"female"
"2",1996-01-01,0.151762826562724,1996,1,"control",0,1,0,"male"
"3",1996-06-01,0.132741958393342,1996,6,"control",0,1,0,"male"
"4",1996-06-01,0.132741958393342,1996,6,"exclosure",0,1,0,"female"
"5",1996-07-01,0.211906498661239,1996,7,"control",0,1,0,"female"
"6",1996-08-01,0.186964908364158,1996,8,"exclosure",0,1,0,"female"
"7",1996-09-01,0.195340372055619,1996,9,"control",0,4,0,"male"
"8",1996-09-01,0.195340372055619,1996,9,"exclosure",0,1,0,"male"
"9",1996-09-01,0.195340372055619,1996,9,"control",0,1,0,"female"
"10",1996-09-01,0.195340372055619,1996,9,"exclosure",0,2,0,"female"
"11",1996-10-01,0.176698640190404,1996,10,"control",0,4,0,"male"
"12",1996-10-01,0.176698640190404,1996,10,"exclosure",0,2,0,"male"
"13",1996-10-01,0.176698640190404,1996,10,"exclosure",0,1,0,"female"
"14",1996-11-01,0.14442962969942,1996,11,"control",0,2,0,"male"
"15",1996-11-01,0.14442962969942,1996,11,"exclosure",0,2,0,"female"
"16",1996-12-01,0.154176933986466,1996,12,"control",1,3,0.333333333333333,"male"
"17",1996-12-01,0.154176933986466,1996,12,"control",0,1,0,"female"
"18",1996-12-01,0.154176933986466,1996,12,"exclosure",0,2,0,"female"
"19",1997-02-01,0.132428066521062,1997,2,"control",1,5,0.2,"male"
"20",1997-02-01,0.132428066521062,1997,2,"exclosure",0,1,0,"male"
"21",1997-02-01,0.132428066521062,1997,2,"control",0,1,0,"female"
"22",1997-02-01,0.132428066521062,1997,2,"exclosure",0,3,0,"female"
"23",1997-03-01,0.178686172748585,1997,3,"control",1,3,0.333333333333333,"male"
"24",1997-03-01,0.178686172748585,1997,3,"exclosure",0,3,0,"male"
"25",1997-03-01,0.178686172748585,1997,3,"exclosure",1,1,1,"female"
"26",1997-04-01,0.153975307671954,1997,4,"control",0,2,0,"male"
"27",1997-04-01,0.153975307671954,1997,4,"exclosure",0,1,0,"male"
"28",1997-04-01,0.153975307671954,1997,4,"exclosure",0,2,0,"female"
"29",1997-05-01,0.148272186247155,1997,5,"exclosure",1,9,0.111111111111111,"male"
"30",1997-05-01,0.148272186247155,1997,5,"control",0,4,0,"male"
"31",1997-05-01,0.148272186247155,1997,5,"exclosure",2,4,0.5,"female"
"32",1997-06-01,0.147970378099939,1997,6,"control",0,4,0,"male"
"33",1997-06-01,0.147970378099939,1997,6,"exclosure",0,16,0,"male"
"34",1997-06-01,0.147970378099939,1997,6,"exclosure",1,12,0.0833333333333333,"female"
"35",1997-06-01,0.147970378099939,1997,6,"control",0,3,0,"female"
"36",1997-07-01,0.136668318150764,1997,7,"exclosure",1,33,0.0303030303030303,"male"
"37",1997-07-01,0.136668318150764,1997,7,"control",0,8,0,"male"
"38",1997-07-01,0.136668318150764,1997,7,"control",0,7,0,"female"
"39",1997-07-01,0.136668318150764,1997,7,"exclosure",0,20,0,"female"
"40",1997-09-01,0.168888153556594,1997,9,"control",0,3,0,"male"
"41",1997-09-01,0.168888153556594,1997,9,"exclosure",0,10,0,"male"
"42",1997-09-01,0.168888153556594,1997,9,"control",0,5,0,"female"
"43",1997-09-01,0.168888153556594,1997,9,"exclosure",0,12,0,"female"
"44",1997-10-01,0.151944762267122,1997,10,"control",0,3,0,"male"
"45",1997-10-01,0.151944762267122,1997,10,"exclosure",0,9,0,"male"
"46",1997-10-01,0.151944762267122,1997,10,"control",0,4,0,"female"
"47",1997-10-01,0.151944762267122,1997,10,"exclosure",0,9,0,"female"
"48",1997-11-01,0.119488483294782,1997,11,"control",0,4,0,"male"
"49",1997-11-01,0.119488483294782,1997,11,"exclosure",0,9,0,"male"
"50",1997-11-01,0.119488483294782,1997,11,"control",0,2,0,"female"
"51",1997-11-01,0.119488483294782,1997,11,"exclosure",0,9,0,"female"
"52",1997-12-01,0.116409805270173,1997,12,"control",0,1,0,"male"
"53",1997-12-01,0.116409805270173,1997,12,"exclosure",0,5,0,"male"
"54",1997-12-01,0.116409805270173,1997,12,"control",0,2,0,"female"
"55",1997-12-01,0.116409805270173,1997,12,"exclosure",0,7,0,"female"
"56",1998-01-01,0.112263413201559,1998,1,"control",0,2,0,"male"
"57",1998-01-01,0.112263413201559,1998,1,"exclosure",0,5,0,"male"
"58",1998-01-01,0.112263413201559,1998,1,"control",0,1,0,"female"
"59",1998-01-01,0.112263413201559,1998,1,"exclosure",0,3,0,"female"
"60",1998-02-01,0.175434044893684,1998,2,"exclosure",0,1,0,"male"
"61",1998-02-01,0.175434044893684,1998,2,"exclosure",0,3,0,"female"
"62",1998-03-01,0.1529635818391,1998,3,"control",1,5,0.2,"male"
"63",1998-03-01,0.1529635818391,1998,3,"exclosure",0,10,0,"male"
"64",1998-03-01,0.1529635818391,1998,3,"exclosure",2,12,0.166666666666667,"female"
"65",1998-03-01,0.1529635818391,1998,3,"control",1,3,0.333333333333333,"female"
"66",1998-05-01,0.146106228895238,1998,5,"control",1,1,1,"male"
"67",1998-05-01,0.146106228895238,1998,5,"exclosure",0,7,0,"male"
"68",1998-05-01,0.146106228895238,1998,5,"exclosure",8,16,0.5,"female"
"69",1998-05-01,0.146106228895238,1998,5,"control",2,3,0.666666666666667,"female"
"70",1998-06-01,0.140428342890135,1998,6,"exclosure",1,7,0.142857142857143,"male"
"71",1998-06-01,0.140428342890135,1998,6,"exclosure",7,19,0.368421052631579,"female"
"72",1998-06-01,0.140428342890135,1998,6,"control",0,1,0,"female"
"73",1998-07-01,0.174192811201329,1998,7,"control",0,2,0,"male"
"74",1998-07-01,0.174192811201329,1998,7,"exclosure",0,9,0,"male"
"75",1998-07-01,0.174192811201329,1998,7,"control",1,7,0.142857142857143,"female"
"76",1998-07-01,0.174192811201329,1998,7,"exclosure",7,19,0.368421052631579,"female"
"77",1998-08-01,0.177626925550719,1998,8,"exclosure",3,21,0.142857142857143,"male"
"78",1998-08-01,0.177626925550719,1998,8,"control",0,5,0,"male"
"79",1998-08-01,0.177626925550719,1998,8,"exclosure",6,13,0.461538461538462,"female"
"80",1998-08-01,0.177626925550719,1998,8,"control",0,5,0,"female"
"81",1998-09-01,0.167366843024439,1998,9,"exclosure",3,23,0.130434782608696,"male"
"82",1998-09-01,0.167366843024439,1998,9,"control",0,7,0,"male"
"83",1998-09-01,0.167366843024439,1998,9,"exclosure",1,10,0.1,"female"
"84",1998-09-01,0.167366843024439,1998,9,"control",0,2,0,"female"
"85",1998-10-01,0.136791441431322,1998,10,"control",0,5,0,"male"
"86",1998-10-01,0.136791441431322,1998,10,"exclosure",0,16,0,"male"
"87",1998-10-01,0.136791441431322,1998,10,"control",0,4,0,"female"
"88",1998-10-01,0.136791441431322,1998,10,"exclosure",0,10,0,"female"
"89",1998-11-01,0.14939891324863,1998,11,"control",0,1,0,"male"
"90",1998-11-01,0.14939891324863,1998,11,"exclosure",0,12,0,"male"
"91",1998-11-01,0.14939891324863,1998,11,"exclosure",1,14,0.0714285714285714,"female"
"92",1998-11-01,0.14939891324863,1998,11,"control",0,3,0,"female"
