"","month","year","count","treatment","reproductive","proportion"
"1",1,1998,1,"control",0,0
"2",1,1999,2,"control",0,0
"3",1,2000,3,"control",0,0
"4",1,2001,1,"control",0,0
"5",1,2004,1,"control",0,0
"6",1,2005,7,"control",0,0
"7",1,2006,7,"control",0,0
"8",1,2007,8,"control",0,0
"9",1,2008,7,"control",0,0
"10",1,2016,1,"control",0,0
"11",2,1999,4,"control",0,0
"12",2,2002,3,"control",0,0
"13",2,2004,3,"control",0,0
"14",2,2007,12,"control",0,0
"15",2,2008,4,"control",0,0
"16",2,2009,2,"control",0,0
"17",2,2014,1,"control",0,0
"18",3,2001,3,"control",0,0
"19",3,2002,5,"control",0,0
"20",3,2004,4,"control",0,0
"21",3,2005,2,"control",0,0
"22",3,2008,7,"control",0,0
"23",3,2009,1,"control",0,0
"24",3,2012,1,"control",0,0
"25",3,2014,1,"control",0,0
"26",4,1999,1,"control",0,0
"27",4,2001,1,"control",0,0
"28",4,2004,2,"control",0,0
"29",4,2005,3,"control",0,0
"30",4,2008,8,"control",0,0
"31",4,2012,1,"control",0,0
"32",4,2015,1,"control",0,0
"33",5,1998,1,"control",0,0
"34",5,1999,3,"control",0,0
"35",5,2001,1,"control",0,0
"36",5,2004,1,"control",0,0
"37",5,2006,3,"control",0,0
"38",5,2008,6,"control",0,0
"39",5,2013,1,"control",0,0
"40",5,2015,1,"control",0,0
"41",6,1997,2,"control",0,0
"42",6,1999,2,"control",0,0
"43",6,2001,1,"control",0,0
"44",6,2005,2,"control",0,0
"45",6,2008,13,"control",0,0
"46",6,2014,1,"control",0,0
"47",7,1997,3,"control",0,0
"48",7,2004,5,"control",0,0
"49",7,2007,18,"control",0,0
"50",7,2008,3,"control",0,0
"51",7,2009,2,"control",0,0
"52",7,2010,1,"control",0,0
"53",7,2012,2,"control",0,0
"54",7,2013,1,"control",0,0
"55",8,2001,2,"control",0,0
"56",8,2003,8,"control",0,0
"57",8,2004,4,"control",0,0
"58",8,2007,14,"control",0,0
"59",8,2008,3,"control",0,0
"60",8,2009,1,"control",0,0
"61",8,2014,1,"control",0,0
"62",8,2015,1,"control",0,0
"63",9,1996,1,"control",0,0
"64",9,1997,1,"control",0,0
"65",9,1998,1,"control",0,0
"66",9,2000,1,"control",0,0
"67",9,2001,7,"control",0,0
"68",9,2002,2,"control",0,0
"69",9,2003,6,"control",0,0
"70",9,2004,5,"control",0,0
"71",9,2006,1,"control",0,0
"72",9,2008,4,"control",0,0
