"","month","year","count","treatment","reproductive","proportion"
"1",5,2007,24,"control",1,0.0416666666666667
"2",7,2007,24,"control",1,0.0416666666666667
"3",6,2007,17,"control",1,0.0588235294117647
"4",8,2007,17,"control",1,0.0588235294117647
"5",1,2006,12,"control",1,0.0833333333333333
"6",6,2008,17,"control",2,0.117647058823529
"7",9,2007,17,"control",2,0.117647058823529
"8",5,2008,8,"control",1,0.125
"9",11,2006,7,"control",1,0.142857142857143
"10",3,2014,6,"control",1,0.166666666666667
"11",4,2007,11,"control",2,0.181818181818182
"12",1,2007,5,"control",1,0.2
"13",3,2003,10,"control",2,0.2
"14",2,2000,8,"control",2,0.25
"15",3,2000,4,"control",1,0.25
"16",3,2001,4,"control",1,0.25
"17",3,2007,8,"control",2,0.25
"18",3,2008,8,"control",2,0.25
"19",6,2002,8,"control",2,0.25
"20",6,2005,4,"control",1,0.25
"21",7,2005,4,"control",1,0.25
"22",8,2008,4,"control",1,0.25
"23",5,2001,3,"control",1,0.333333333333333
"24",12,2013,3,"control",1,0.333333333333333
"25",5,2003,8,"control",3,0.375
"26",6,2003,8,"control",3,0.375
"27",11,2001,5,"control",2,0.4
"28",3,2006,9,"control",4,0.444444444444444
"29",2,2013,2,"control",1,0.5
"30",7,2003,4,"control",2,0.5
"31",11,2014,2,"control",1,0.5
"32",2,2007,11,"control",6,0.545454545454545
"33",4,2002,3,"control",2,0.666666666666667
"34",11,2004,3,"control",2,0.666666666666667
"35",2,2002,3,"control",3,1
"36",2,2015,1,"control",1,1
"37",4,2013,1,"control",1,1
"38",5,2004,1,"control",1,1
"39",5,2005,1,"control",1,1
"40",8,2012,1,"control",1,1
"41",8,2016,1,"control",1,1
"42",1,1998,1,"control",NA,NA
"43",1,2000,3,"control",NA,NA
"44",1,2001,3,"control",NA,NA
"45",1,2002,2,"control",NA,NA
"46",1,2004,2,"control",NA,NA
"47",1,2005,1,"control",NA,NA
"48",1,2008,5,"control",NA,NA
"49",1,2009,1,"control",NA,NA
"50",1,2013,2,"control",NA,NA
"51",1,2015,1,"control",NA,NA
"52",2,1997,1,"control",NA,NA
"53",2,2003,6,"control",NA,NA
"54",2,2004,1,"control",NA,NA
"55",2,2008,5,"control",NA,NA
"56",2,2010,1,"control",NA,NA
"57",2,2014,1,"control",NA,NA
"58",3,1997,1,"control",NA,NA
"59",3,1998,3,"control",NA,NA
"60",3,2002,2,"control",NA,NA
"61",3,2004,1,"control",NA,NA
"62",3,2005,2,"control",NA,NA
"63",3,2009,1,"control",NA,NA
"64",3,2010,1,"control",NA,NA
"65",3,2013,1,"control",NA,NA
"66",3,2015,4,"control",NA,NA
"67",4,1997,1,"control",NA,NA
"68",4,1999,2,"control",NA,NA
"69",4,2000,2,"control",NA,NA
"70",4,2005,2,"control",NA,NA
"71",4,2006,4,"control",NA,NA
"72",4,2008,6,"control",NA,NA
"73",4,2009,2,"control",NA,NA
"74",4,2010,1,"control",NA,NA
"75",4,2014,3,"control",NA,NA
"76",4,2015,1,"control",NA,NA
"77",5,1997,2,"control",NA,NA
"78",5,1998,1,"control",NA,NA
"79",5,1999,1,"control",NA,NA
"80",5,2002,4,"control",NA,NA
"81",5,2006,4,"control",NA,NA
"82",5,2009,3,"control",NA,NA
"83",5,2012,1,"control",NA,NA
"84",5,2013,1,"control",NA,NA
"85",6,1996,1,"control",NA,NA
"86",6,1997,1,"control",NA,NA
"87",6,1999,1,"control",NA,NA
"88",6,2000,4,"control",NA,NA
"89",6,2001,1,"control",NA,NA
"90",6,2004,2,"control",NA,NA
"91",6,2009,1,"control",NA,NA
"92",6,2014,2,"control",NA,NA
"93",6,2015,2,"control",NA,NA
"94",7,1997,6,"control",NA,NA
"95",7,1998,1,"control",NA,NA
"96",7,2000,11,"control",NA,NA
"97",7,2001,3,"control",NA,NA
"98",7,2002,6,"control",NA,NA
"99",7,2004,3,"control",NA,NA
"100",7,2006,5,"control",NA,NA
"101",7,2008,1,"control",NA,NA
"102",7,2009,3,"control",NA,NA
"103",7,2012,3,"control",NA,NA
"104",7,2015,1,"control",NA,NA
"105",8,1998,3,"control",NA,NA
"106",8,2000,11,"control",NA,NA
"107",8,2001,6,"control",NA,NA
"108",8,2003,3,"control",NA,NA
"109",8,2004,3,"control",NA,NA
"110",8,2005,6,"control",NA,NA
"111",8,2006,1,"control",NA,NA
"112",8,2009,2,"control",NA,NA
"113",8,2015,1,"control",NA,NA
"114",9,1996,1,"control",NA,NA
"115",9,1997,2,"control",NA,NA
"116",9,1998,3,"control",NA,NA
"117",9,2000,3,"control",NA,NA
"118",9,2001,6,"control",NA,NA
"119",9,2003,4,"control",NA,NA
"120",9,2004,1,"control",NA,NA
"121",9,2005,17,"control",NA,NA
"122",9,2006,1,"control",NA,NA
"123",9,2008,4,"control",NA,NA
"124",9,2012,2,"control",NA,NA
"125",9,2014,2,"control",NA,NA
"126",9,2015,2,"control",NA,NA
"127",10,1996,3,"control",NA,NA
"128",10,1997,1,"control",NA,NA
"129",10,1998,3,"control",NA,NA
"130",10,2001,4,"control",NA,NA
"131",10,2002,4,"control",NA,NA
"132",10,2003,2,"control",NA,NA
"133",10,2004,5,"control",NA,NA
"134",10,2005,3,"control",NA,NA
"135",10,2006,5,"control",NA,NA
"136",10,2007,13,"control",NA,NA
"137",10,2008,4,"control",NA,NA
"138",10,2012,1,"control",NA,NA
"139",10,2014,1,"control",NA,NA
"140",11,1996,1,"control",NA,NA
"141",11,1997,2,"control",NA,NA
"142",11,1999,2,"control",NA,NA
"143",11,2000,2,"control",NA,NA
"144",11,2002,4,"control",NA,NA
"145",11,2003,1,"control",NA,NA
"146",11,2005,7,"control",NA,NA
"147",11,2007,11,"control",NA,NA
"148",11,2008,2,"control",NA,NA
"149",11,2012,2,"control",NA,NA
"150",11,2013,1,"control",NA,NA
"151",11,2015,1,"control",NA,NA
"152",12,1996,1,"control",NA,NA
"153",12,1999,1,"control",NA,NA
"154",12,2000,4,"control",NA,NA
"155",12,2001,2,"control",NA,NA
"156",12,2002,13,"control",NA,NA
"157",12,2003,1,"control",NA,NA
"158",12,2004,2,"control",NA,NA
"159",12,2005,1,"control",NA,NA
"160",12,2006,15,"control",NA,NA
"161",12,2007,6,"control",NA,NA
"162",12,2008,2,"control",NA,NA
"163",12,2012,2,"control",NA,NA
"164",1,2006,19,"exclosure",1,0.0526315789473684
"165",6,2007,17,"exclosure",1,0.0588235294117647
"166",7,1997,17,"exclosure",1,0.0588235294117647
"167",9,2001,15,"exclosure",1,0.0666666666666667
"168",9,2007,15,"exclosure",1,0.0666666666666667
"169",4,2007,12,"exclosure",1,0.0833333333333333
"170",9,2005,23,"exclosure",2,0.0869565217391304
"171",8,1998,11,"exclosure",1,0.0909090909090909
"172",7,2002,10,"exclosure",1,0.1
"173",9,1998,9,"exclosure",1,0.111111111111111
"174",1,2008,8,"exclosure",1,0.125
"175",2,2002,8,"exclosure",1,0.125
"176",10,2001,8,"exclosure",1,0.125
"177",5,2009,7,"exclosure",1,0.142857142857143
"178",7,2001,7,"exclosure",1,0.142857142857143
"179",8,2012,7,"exclosure",1,0.142857142857143
"180",6,2002,13,"exclosure",2,0.153846153846154
"181",12,2002,19,"exclosure",3,0.157894736842105
"182",1,2000,6,"exclosure",1,0.166666666666667
"183",1,2004,6,"exclosure",1,0.166666666666667
"184",2,2000,6,"exclosure",1,0.166666666666667
"185",5,2002,12,"exclosure",2,0.166666666666667
"186",5,2008,6,"exclosure",1,0.166666666666667
"187",8,2003,6,"exclosure",1,0.166666666666667
"188",8,2009,6,"exclosure",1,0.166666666666667
"189",12,1999,6,"exclosure",1,0.166666666666667
"190",12,2001,6,"exclosure",1,0.166666666666667
"191",3,2000,5,"exclosure",1,0.2
"192",3,2004,5,"exclosure",1,0.2
"193",3,2013,5,"exclosure",1,0.2
"194",4,2002,10,"exclosure",2,0.2
"195",4,2009,5,"exclosure",1,0.2
"196",5,2006,10,"exclosure",2,0.2
"197",7,2012,5,"exclosure",1,0.2
"198",8,2004,5,"exclosure",1,0.2
"199",10,2002,10,"exclosure",2,0.2
"200",3,2006,14,"exclosure",3,0.214285714285714
"201",5,2003,23,"exclosure",5,0.217391304347826
"202",3,2015,4,"exclosure",1,0.25
"203",6,2001,4,"exclosure",1,0.25
"204",6,2003,8,"exclosure",2,0.25
"205",7,1998,4,"exclosure",1,0.25
"206",8,2014,4,"exclosure",1,0.25
"207",9,2003,8,"exclosure",2,0.25
"208",11,1999,4,"exclosure",1,0.25
"209",11,2006,8,"exclosure",2,0.25
"210",11,2012,4,"exclosure",1,0.25
"211",2,2007,7,"exclosure",2,0.285714285714286
"212",7,2006,10,"exclosure",3,0.3
"213",3,2005,3,"exclosure",1,0.333333333333333
"214",4,2005,3,"exclosure",1,0.333333333333333
"215",6,2008,12,"exclosure",4,0.333333333333333
"216",8,2008,6,"exclosure",2,0.333333333333333
"217",9,2009,3,"exclosure",1,0.333333333333333
"218",9,2012,6,"exclosure",2,0.333333333333333
"219",10,1999,3,"exclosure",1,0.333333333333333
"220",10,2004,3,"exclosure",1,0.333333333333333
"221",11,2005,12,"exclosure",4,0.333333333333333
"222",3,2003,17,"exclosure",6,0.352941176470588
"223",3,2002,8,"exclosure",3,0.375
"224",4,2001,8,"exclosure",3,0.375
"225",4,2006,8,"exclosure",3,0.375
"226",6,2006,8,"exclosure",3,0.375
"227",7,2003,8,"exclosure",3,0.375
"228",10,2006,5,"exclosure",2,0.4
"229",1,2012,2,"exclosure",1,0.5
"230",2,2003,8,"exclosure",4,0.5
"231",2,2015,2,"exclosure",1,0.5
"232",3,1999,2,"exclosure",1,0.5
"233",3,2001,2,"exclosure",1,0.5
"234",3,2012,2,"exclosure",1,0.5
"235",4,2004,2,"exclosure",1,0.5
"236",6,2015,2,"exclosure",1,0.5
"237",7,2015,2,"exclosure",1,0.5
"238",9,2006,2,"exclosure",1,0.5
"239",9,2013,2,"exclosure",1,0.5
"240",12,2014,4,"exclosure",2,0.5
"241",3,2009,3,"exclosure",2,0.666666666666667
"242",5,2017,3,"exclosure",2,0.666666666666667
"243",4,1999,4,"exclosure",3,0.75
"244",3,2017,1,"exclosure",1,1
"245",5,2018,1,"exclosure",1,1
"246",6,2017,1,"exclosure",1,1
"247",9,2010,2,"exclosure",2,1
"248",1,1998,2,"exclosure",NA,NA
"249",1,1999,3,"exclosure",NA,NA
"250",1,2001,3,"exclosure",NA,NA
"251",1,2002,2,"exclosure",NA,NA
"252",1,2005,4,"exclosure",NA,NA
"253",1,2007,4,"exclosure",NA,NA
"254",1,2009,4,"exclosure",NA,NA
"255",1,2010,1,"exclosure",NA,NA
"256",1,2011,1,"exclosure",NA,NA
"257",1,2013,1,"exclosure",NA,NA
"258",1,2015,1,"exclosure",NA,NA
"259",2,1998,1,"exclosure",NA,NA
"260",2,1999,2,"exclosure",NA,NA
"261",2,2004,5,"exclosure",NA,NA
"262",2,2008,6,"exclosure",NA,NA
"263",2,2009,5,"exclosure",NA,NA
"264",2,2012,1,"exclosure",NA,NA
"265",2,2013,4,"exclosure",NA,NA
"266",2,2014,3,"exclosure",NA,NA
"267",2,2017,1,"exclosure",NA,NA
"268",3,1998,5,"exclosure",NA,NA
"269",3,2007,5,"exclosure",NA,NA
"270",3,2008,7,"exclosure",NA,NA
"271",3,2010,1,"exclosure",NA,NA
"272",3,2014,5,"exclosure",NA,NA
"273",3,2018,1,"exclosure",NA,NA
"274",3,2019,1,"exclosure",NA,NA
"275",4,2000,7,"exclosure",NA,NA
"276",4,2008,6,"exclosure",NA,NA
"277",4,2011,1,"exclosure",NA,NA
"278",4,2012,1,"exclosure",NA,NA
"279",4,2013,3,"exclosure",NA,NA
"280",4,2014,2,"exclosure",NA,NA
"281",4,2015,2,"exclosure",NA,NA
"282",5,1997,6,"exclosure",NA,NA
"283",5,1998,2,"exclosure",NA,NA
"284",5,2001,3,"exclosure",NA,NA
"285",5,2004,5,"exclosure",NA,NA
"286",5,2005,3,"exclosure",NA,NA
"287",5,2007,21,"exclosure",NA,NA
"288",5,2011,1,"exclosure",NA,NA
"289",5,2012,1,"exclosure",NA,NA
"290",5,2013,4,"exclosure",NA,NA
"291",5,2015,2,"exclosure",NA,NA
"292",5,2016,1,"exclosure",NA,NA
"293",6,1997,10,"exclosure",NA,NA
"294",6,1998,2,"exclosure",NA,NA
"295",6,1999,3,"exclosure",NA,NA
"296",6,2000,7,"exclosure",NA,NA
"297",6,2004,3,"exclosure",NA,NA
"298",6,2005,7,"exclosure",NA,NA
"299",6,2009,9,"exclosure",NA,NA
