"","month","year","treatment","reproductive","abundance","proportion","sex","species"
"1",9,2005,"exclosure",1,38,0.0263157894736842,"male","PB"
"2",9,2005,"control",1,33,0.0303030303030303,"male","PB"
"3",7,2007,"control",2,49,0.0408163265306122,"male","PB"
"4",10,2007,"exclosure",1,24,0.0416666666666667,"male","PB"
"5",11,2005,"exclosure",1,23,0.0434782608695652,"male","PB"
"6",8,2005,"exclosure",1,22,0.0454545454545455,"male","PB"
"7",12,2006,"exclosure",1,21,0.0476190476190476,"male","PB"
"8",6,2007,"exclosure",2,39,0.0512820512820513,"male","PB"
"9",6,2007,"control",2,37,0.0540540540540541,"male","PB"
"10",1,2006,"exclosure",2,36,0.0555555555555556,"male","PB"
"11",9,2001,"exclosure",1,18,0.0555555555555556,"male","PB"
"12",5,2007,"control",2,35,0.0571428571428571,"male","PB"
"13",7,2005,"exclosure",1,17,0.0588235294117647,"male","PB"
"14",9,2007,"control",2,32,0.0625,"male","PB"
"15",11,2001,"exclosure",1,15,0.0666666666666667,"male","PB"
"16",12,2005,"exclosure",1,15,0.0666666666666667,"male","PB"
"17",2,2002,"exclosure",1,14,0.0714285714285714,"male","PB"
"18",6,2002,"control",1,13,0.0769230769230769,"male","PB"
"19",6,2003,"exclosure",1,13,0.0769230769230769,"male","PB"
"20",10,2005,"exclosure",1,13,0.0769230769230769,"male","PB"
"21",6,2003,"control",1,12,0.0833333333333333,"male","PB"
"22",12,2002,"control",2,24,0.0833333333333333,"male","PB"
"23",12,2006,"control",2,23,0.0869565217391304,"male","PB"
"24",6,2000,"exclosure",1,11,0.0909090909090909,"male","PB"
"25",8,2001,"control",1,11,0.0909090909090909,"male","PB"
"26",12,2004,"exclosure",1,10,0.1,"male","PB"
"27",1,2006,"control",2,19,0.105263157894737,"male","PB"
"28",5,2007,"exclosure",4,38,0.105263157894737,"male","PB"
"29",6,2002,"exclosure",2,19,0.105263157894737,"male","PB"
"30",6,2008,"control",3,28,0.107142857142857,"male","PB"
"31",6,2009,"exclosure",2,18,0.111111111111111,"male","PB"
"32",8,2009,"exclosure",1,9,0.111111111111111,"male","PB"
"33",10,2003,"exclosure",1,9,0.111111111111111,"male","PB"
"34",3,2001,"control",1,8,0.125,"male","PB"
"35",3,2008,"control",2,16,0.125,"male","PB"
"36",6,2014,"exclosure",1,8,0.125,"male","PB"
"37",8,2000,"exclosure",1,8,0.125,"male","PB"
"38",10,2004,"control",1,8,0.125,"male","PB"
"39",4,2007,"exclosure",3,22,0.136363636363636,"male","PB"
"40",6,2008,"exclosure",4,29,0.137931034482759,"male","PB"
"41",1,2005,"control",1,7,0.142857142857143,"male","PB"
"42",2,2002,"control",1,7,0.142857142857143,"male","PB"
"43",5,1997,"exclosure",1,7,0.142857142857143,"male","PB"
"44",7,2004,"control",1,7,0.142857142857143,"male","PB"
"45",8,2003,"control",1,7,0.142857142857143,"male","PB"
"46",8,2014,"exclosure",1,7,0.142857142857143,"male","PB"
"47",5,2003,"exclosure",6,41,0.146341463414634,"male","PB"
"48",4,2008,"control",2,13,0.153846153846154,"male","PB"
"49",9,2003,"exclosure",2,13,0.153846153846154,"male","PB"
"50",5,2009,"exclosure",3,19,0.157894736842105,"male","PB"
"51",11,2002,"exclosure",3,19,0.157894736842105,"male","PB"
"52",12,2002,"exclosure",4,25,0.16,"male","PB"
"53",1,2001,"exclosure",1,6,0.166666666666667,"male","PB"
"54",2,2013,"exclosure",1,6,0.166666666666667,"male","PB"
"55",3,2013,"exclosure",1,6,0.166666666666667,"male","PB"
"56",4,2007,"control",4,24,0.166666666666667,"male","PB"
"57",8,2003,"exclosure",2,12,0.166666666666667,"male","PB"
"58",8,2008,"control",1,6,0.166666666666667,"male","PB"
"59",9,2001,"control",1,6,0.166666666666667,"male","PB"
"60",10,2001,"exclosure",2,12,0.166666666666667,"male","PB"
"61",11,2001,"control",1,6,0.166666666666667,"male","PB"
"62",3,2003,"control",4,23,0.173913043478261,"male","PB"
"63",1,2004,"exclosure",2,11,0.181818181818182,"male","PB"
"64",5,2002,"exclosure",4,22,0.181818181818182,"male","PB"
"65",6,2005,"exclosure",2,11,0.181818181818182,"male","PB"
"66",7,2006,"control",2,11,0.181818181818182,"male","PB"
"67",4,2008,"exclosure",3,16,0.1875,"male","PB"
"68",10,2002,"exclosure",3,16,0.1875,"male","PB"
"69",4,2001,"exclosure",2,10,0.2,"male","PB"
"70",5,2003,"control",3,15,0.2,"male","PB"
"71",6,2004,"control",1,5,0.2,"male","PB"
"72",6,2009,"control",1,5,0.2,"male","PB"
"73",7,2003,"control",2,10,0.2,"male","PB"
"74",9,2013,"exclosure",1,5,0.2,"male","PB"
"75",10,2003,"control",1,5,0.2,"male","PB"
"76",11,2012,"exclosure",1,5,0.2,"male","PB"
"77",12,2004,"control",1,5,0.2,"male","PB"
"78",3,2006,"exclosure",7,34,0.205882352941176,"male","PB"
"79",2,2000,"control",2,9,0.222222222222222,"male","PB"
"80",5,2006,"exclosure",4,18,0.222222222222222,"male","PB"
"81",2,2003,"control",3,13,0.230769230769231,"male","PB"
"82",7,2002,"exclosure",3,13,0.230769230769231,"male","PB"
"83",11,2006,"exclosure",4,17,0.235294117647059,"male","PB"
"84",7,2006,"exclosure",5,21,0.238095238095238,"male","PB"
"85",1,2000,"control",2,8,0.25,"male","PB"
"86",3,2000,"exclosure",1,4,0.25,"male","PB"
"87",4,2000,"exclosure",1,4,0.25,"male","PB"
"88",4,2002,"control",1,4,0.25,"male","PB"
"89",4,2006,"exclosure",4,16,0.25,"male","PB"
"90",5,2001,"control",1,4,0.25,"male","PB"
"91",5,2004,"exclosure",1,4,0.25,"male","PB"
"92",8,2008,"exclosure",3,12,0.25,"male","PB"
"93",9,2006,"control",1,4,0.25,"male","PB"
"94",9,2006,"exclosure",2,8,0.25,"male","PB"
"95",10,2006,"control",2,8,0.25,"male","PB"
"96",3,2006,"control",4,15,0.266666666666667,"male","PB"
"97",5,2008,"control",4,15,0.266666666666667,"male","PB"
"98",11,2005,"control",4,15,0.266666666666667,"male","PB"
"99",7,2012,"exclosure",3,11,0.272727272727273,"male","PB"
"100",2,2003,"exclosure",4,14,0.285714285714286,"male","PB"
"101",2,2007,"exclosure",4,14,0.285714285714286,"male","PB"
"102",5,2001,"exclosure",2,7,0.285714285714286,"male","PB"
"103",3,2003,"exclosure",8,26,0.307692307692308,"male","PB"
"104",5,2008,"exclosure",4,13,0.307692307692308,"male","PB"
"105",11,2006,"control",4,13,0.307692307692308,"male","PB"
"106",2,2004,"exclosure",2,6,0.333333333333333,"male","PB"
"107",4,2000,"control",1,3,0.333333333333333,"male","PB"
"108",4,2009,"exclosure",4,12,0.333333333333333,"male","PB"
"109",7,2012,"control",1,3,0.333333333333333,"male","PB"
"110",8,2009,"control",1,3,0.333333333333333,"male","PB"
"111",9,2004,"exclosure",2,6,0.333333333333333,"male","PB"
"112",9,2009,"control",1,3,0.333333333333333,"male","PB"
"113",10,2006,"exclosure",5,15,0.333333333333333,"male","PB"
"114",11,2014,"control",1,3,0.333333333333333,"male","PB"
"115",12,2013,"control",2,6,0.333333333333333,"male","PB"
"116",3,2004,"exclosure",3,8,0.375,"male","PB"
"117",4,2002,"exclosure",6,16,0.375,"male","PB"
"118",2,2007,"control",8,21,0.380952380952381,"male","PB"
"119",4,2004,"exclosure",2,5,0.4,"male","PB"
"120",3,2007,"exclosure",5,12,0.416666666666667,"male","PB"
"121",1,2005,"exclosure",3,7,0.428571428571429,"male","PB"
"122",4,2005,"exclosure",3,7,0.428571428571429,"male","PB"
"123",7,2013,"exclosure",3,7,0.428571428571429,"male","PB"
"124",3,2001,"exclosure",4,9,0.444444444444444,"male","PB"
"125",3,2007,"control",8,18,0.444444444444444,"male","PB"
"126",1,2001,"control",2,4,0.5,"male","PB"
"127",2,2000,"exclosure",1,2,0.5,"male","PB"
"128",3,2002,"exclosure",5,10,0.5,"male","PB"
"129",4,2005,"control",1,2,0.5,"male","PB"
"130",5,2014,"exclosure",1,2,0.5,"male","PB"
"131",7,2004,"exclosure",2,4,0.5,"male","PB"
"132",8,2014,"control",1,2,0.5,"male","PB"
"133",9,2010,"exclosure",1,2,0.5,"male","PB"
"134",9,2013,"control",1,2,0.5,"male","PB"
"135",9,2002,"exclosure",4,6,0.666666666666667,"male","PB"
"136",12,1996,"control",2,3,0.666666666666667,"male","PB"
"137",2,2009,"control",1,1,1,"male","PB"
"138",3,2000,"control",1,1,1,"male","PB"
"139",3,2002,"control",2,2,1,"male","PB"
"140",3,2009,"control",1,1,1,"male","PB"
"141",4,2013,"control",1,1,1,"male","PB"
"142",5,2010,"control",1,1,1,"male","PB"
"143",1,1996,"control",0,1,0,"male","PB"
"144",1,1998,"exclosure",0,1,0,"male","PB"
"145",1,2000,"exclosure",0,4,0,"male","PB"
"146",1,2004,"control",0,2,0,"male","PB"
"147",1,2008,"control",0,9,0,"male","PB"
"148",1,2008,"exclosure",0,15,0,"male","PB"
"149",1,2009,"control",0,2,0,"male","PB"
"150",1,2009,"exclosure",0,8,0,"male","PB"
"151",1,2010,"control",0,1,0,"male","PB"
"152",1,2010,"exclosure",0,1,0,"male","PB"
"153",1,2011,"exclosure",0,1,0,"male","PB"
"154",1,2012,"control",0,1,0,"male","PB"
"155",1,2012,"exclosure",0,2,0,"male","PB"
"156",1,2013,"control",0,4,0,"male","PB"
"157",1,2013,"exclosure",0,3,0,"male","PB"
"158",2,1997,"control",0,5,0,"male","PB"
"159",2,1997,"exclosure",0,1,0,"male","PB"
"160",2,2004,"control",0,3,0,"male","PB"
"161",2,2008,"control",0,11,0,"male","PB"
"162",2,2008,"exclosure",0,13,0,"male","PB"
"163",2,2009,"exclosure",0,7,0,"male","PB"
"164",2,2010,"control",0,3,0,"male","PB"
"165",2,2010,"exclosure",0,1,0,"male","PB"
"166",2,2012,"control",0,1,0,"male","PB"
"167",2,2012,"exclosure",0,2,0,"male","PB"
"168",2,2013,"control",0,2,0,"male","PB"
"169",2,2014,"control",0,2,0,"male","PB"
"170",2,2014,"exclosure",0,3,0,"male","PB"
"171",3,1997,"control",0,2,0,"male","PB"
"172",3,1997,"exclosure",0,2,0,"male","PB"
"173",3,1998,"control",0,1,0,"male","PB"
"174",3,1998,"exclosure",0,1,0,"male","PB"
"175",3,1999,"control",0,1,0,"male","PB"
"176",3,2004,"control",0,2,0,"male","PB"
"177",3,2005,"control",0,3,0,"male","PB"
"178",3,2005,"exclosure",0,7,0,"male","PB"
"179",3,2008,"exclosure",0,15,0,"male","PB"
"180",3,2009,"exclosure",0,7,0,"male","PB"
"181",3,2010,"control",0,3,0,"male","PB"
"182",3,2010,"exclosure",0,1,0,"male","PB"
"183",3,2012,"control",0,2,0,"male","PB"
"184",3,2012,"exclosure",0,2,0,"male","PB"
"185",3,2013,"control",0,3,0,"male","PB"
"186",3,2014,"control",0,8,0,"male","PB"
"187",3,2014,"exclosure",0,6,0,"male","PB"
"188",4,1997,"control",0,2,0,"male","PB"
