"","period","month","day","year","treatment","plot","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","note5"
"1",118,1,23,1988,"control",22,11,"DM","M",NA,NA,"S",NA,NA,NA,NA,38,45,"7931",NA,NA
"2",118,1,23,1988,"exclosure",19,11,"RM","M","Z",NA,NA,NA,NA,NA,NA,17,11,"7168",NA,NA
"3",118,1,23,1988,"control",12,11,"DO","M",NA,NA,"R",NA,NA,NA,NA,37,57,"7145",NA,NA
"4",118,1,23,1988,"exclosure",20,12,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,39,"7691",NA,NA
"5",118,1,23,1988,"exclosure",20,13,"RM","M","Z",NA,NA,NA,NA,NA,NA,16,8,"7933",NA,NA
"6",118,1,23,1988,"control",22,14,"RM","F","Z",NA,NA,NA,NA,NA,NA,15,9,"7930",NA,NA
"7",118,1,23,1988,"exclosure",18,15,"DM","F","Z",NA,NA,NA,NA,NA,NA,37,38,"7643",NA,NA
"10",118,1,23,1988,"exclosure",6,17,"DM","M",NA,NA,"S",NA,NA,NA,NA,34,45,"6505",NA,NA
"11",118,1,23,1988,"exclosure",20,22,"RM","F","Z",NA,NA,NA,NA,NA,NA,16,10,"7800",NA,NA
"13",118,1,23,1988,"exclosure",21,23,"RM","M","Z",NA,NA,NA,NA,NA,NA,16,9,"7932",NA,NA
"14",118,1,23,1988,"exclosure",21,27,"RM","M","Z",NA,NA,NA,NA,NA,NA,17,9,"7797",NA,NA
"16",118,1,23,1988,"exclosure",20,27,"DO","F","Z",NA,NA,NA,NA,NA,NA,NA,48,"7162",NA,NA
"17",118,1,23,1988,"exclosure",6,27,"DO","M",NA,NA,"S",NA,NA,NA,NA,35,48,"7007",NA,NA
"18",118,1,23,1988,"exclosure",21,32,"RM","M","Z",NA,NA,NA,NA,NA,NA,16,12,"7163",NA,NA
"19",118,1,23,1988,"control",12,32,"RM","M","Z",NA,NA,NA,NA,NA,NA,16,9,"7902",NA,NA
"20",118,1,23,1988,"exclosure",18,33,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,45,"7582",NA,NA
"21",118,1,23,1988,"exclosure",21,34,"RM","M","Z",NA,NA,NA,NA,NA,NA,15,9,"8000100d",NA,NA
"22",118,1,23,1988,"control",12,34,"RM","F","Z",NA,NA,NA,NA,NA,NA,15,9,"7903",NA,NA
"23",118,1,23,1988,"control",14,35,"RM","F","Z",NA,NA,NA,NA,NA,NA,17,11,"7941",NA,NA
"25",118,1,23,1988,"exclosure",6,37,"PE","M","Z",NA,NA,NA,NA,NA,NA,22,24,"7901",NA,NA
"26",118,1,23,1988,"control",17,37,"RM","F","Z",NA,NA,NA,NA,NA,NA,17,10,"7794",NA,NA
"27",118,1,23,1988,"control",22,41,"DM","M",NA,NA,"R",NA,NA,NA,NA,37,46,"7516",NA,NA
"28",118,1,23,1988,"exclosure",6,42,"DO","M",NA,NA,"R",NA,NA,NA,NA,35,53,"7501",NA,NA
"29",118,1,23,1988,"exclosure",18,43,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,41,"7075102d",NA,NA
"32",118,1,23,1988,"exclosure",19,46,"RM","M","Z",NA,NA,NA,NA,NA,NA,17,11,"7996",NA,NA
"33",118,1,23,1988,"exclosure",6,51,"DO","M",NA,NA,"R",NA,NA,NA,NA,37,49,"6314",NA,NA
"34",118,1,23,1988,"exclosure",18,51,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,40,"7953",NA,NA
"35",118,1,23,1988,"exclosure",19,52,"RM","F","Z",NA,NA,NA,NA,NA,NA,17,13,"7957",NA,NA
"36",118,1,23,1988,"exclosure",20,52,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,43,"7548",NA,NA
"37",118,1,23,1988,"control",22,53,"DS","F","Z",NA,NA,NA,NA,NA,NA,51,144,"7605103d",NA,NA
"38",118,1,23,1988,"exclosure",21,55,"RM","F","Z",NA,NA,NA,NA,NA,NA,16,9,"7752",NA,NA
"39",118,1,23,1988,"exclosure",21,57,"RM","F","Z",NA,NA,NA,NA,NA,NA,17,10,"7798",NA,NA
"40",118,1,23,1988,"exclosure",6,57,"DO","F","Z",NA,NA,NA,NA,NA,NA,36,50,"7185",NA,NA
"41",118,1,23,1988,"exclosure",18,57,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,38,"7577",NA,NA
"42",118,1,23,1988,"exclosure",18,65,"RM","M","Z",NA,NA,NA,NA,NA,NA,16,9,"7925",NA,NA
"43",118,1,23,1988,"exclosure",19,67,"RM","M","Z",NA,NA,NA,NA,NA,NA,16,8,"7929",NA,NA
"48",118,1,23,1988,"control",22,74,"PE","F","Z",NA,NA,NA,NA,NA,NA,22,24,"7160",NA,NA
"49",118,1,23,1988,"exclosure",19,74,"PM","M","Z",NA,NA,NA,NA,NA,NA,22,23,"7142",NA,NA
"53",118,1,23,1988,"exclosure",19,76,"PM","F","Z",NA,NA,NA,NA,NA,NA,21,15,"7928",NA,NA
"55",118,1,23,1988,"control",17,76,"OT","M","Z",NA,NA,NA,NA,NA,NA,20,27,"7038",NA,NA
"56",118,1,23,1988,"exclosure",19,77,"RM","F","Z",NA,NA,NA,NA,NA,NA,16,8,"7796",NA,NA
"57",118,1,23,1988,"exclosure",6,77,"PM","M","Z",NA,NA,NA,NA,NA,NA,21,20,"7795",NA,NA
"58",118,1,23,1988,"control",12,77,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,35,"7894",NA,NA
"59",118,1,23,1988,"control",17,77,"PE","M","Z",NA,NA,NA,NA,NA,NA,22,22,"7956",NA,NA
"60",118,1,23,1988,"exclosure",18,77,"DO","M","Z",NA,NA,NA,NA,NA,NA,35,50,"7922",NA,NA
"62",118,1,24,1988,"control",2,12,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,38,"7789",NA,NA
"65",118,1,24,1988,"control",8,22,"DO","M",NA,NA,"S",NA,NA,NA,NA,37,53,"6826",NA,NA
"67",118,1,24,1988,"control",2,24,"DM","M",NA,NA,"R",NA,NA,NA,NA,34,47,"6172",NA,NA
"69",118,1,24,1988,"control",11,27,"SH","F","Z",NA,NA,NA,NA,NA,NA,27,51,"7921",NA,NA
"72",118,1,24,1988,"exclosure",15,33,"NA","F",NA,NA,NA,NA,NA,"E",NA,32,198,"7539",NA,NA
"74",118,1,24,1988,"exclosure",3,35,"RM","F","Z",NA,NA,NA,NA,NA,NA,17,13,"7949",NA,NA
"75",118,1,24,1988,"control",11,36,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,45,"7531106d",NA,NA
"76",118,1,24,1988,"exclosure",15,36,"RM","M","Z",NA,NA,NA,NA,NA,NA,17,9,"7971",NA,NA
"77",118,1,24,1988,"control",11,37,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,39,"7981107d",NA,NA
"80",118,1,24,1988,"control",8,43,"DM","M","Z",NA,NA,NA,NA,NA,NA,34,47,"7173",NA,NA
"81",118,1,24,1988,"control",2,45,"PE","M","Z",NA,NA,NA,NA,NA,NA,21,22,"7670",NA,NA
"82",118,1,24,1988,"control",2,46,"OL","M","Z",NA,NA,NA,NA,NA,NA,21,34,"7989",NA,NA
"83",118,1,24,1988,"control",2,47,"PE","M","Z",NA,NA,NA,NA,NA,NA,19,22,"7177",NA,NA
"89",118,1,24,1988,"exclosure",13,57,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,45,"5588",NA,NA
"90",118,1,24,1988,"control",8,61,"DO","F",NA,NA,NA,"S",NA,NA,NA,37,56,"7784",NA,NA
"91",118,1,24,1988,"exclosure",13,61,"NA","M",NA,NA,"S",NA,NA,NA,NA,35,162,"7141",NA,NA
"92",118,1,24,1988,"exclosure",3,61,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,40,"7781",NA,NA
"96",118,1,24,1988,"exclosure",13,67,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,40,"7020",NA,NA
"98",118,1,24,1988,"control",4,71,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,43,"7625",NA,NA
"100",118,1,24,1988,"exclosure",13,71,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,39,"7637",NA,NA
"101",118,1,24,1988,"control",4,72,"DS","M",NA,NA,"S",NA,NA,NA,NA,53,136,"6895",NA,NA
"102",118,1,24,1988,"control",2,73,"PE","M","Z",NA,NA,NA,NA,NA,NA,22,24,"7987",NA,NA
