"","month","day","year","treatment","species","testes"
"1",8,19,1977,"control","PF","S"
"2",8,19,1977,"control","PF","S"
"3",8,19,1977,"control","PF","S"
"4",8,21,1977,"control","PF","S"
"5",10,18,1977,"control","PF","S"
"6",3,11,1978,"control","PF","S"
"7",5,18,1978,"control","PP","S"
"8",6,8,1978,"control","PF","S"
"9",6,8,1978,"control","PP","S"
"10",6,9,1978,"control","PP","S"
"11",6,9,1978,"control","PF","S"
"12",7,7,1978,"control","PP","S"
"13",9,3,1978,"control","PF","S"
"14",9,3,1978,"control","PF","S"
"15",5,29,1979,"control","PP","S"
"16",1,15,1980,"control","PF","S"
"17",2,25,1980,"control","PE","S"
"18",2,25,1980,"control","RM","S"
"19",3,9,1980,"control","PF","S"
"20",3,21,1980,"control","RM","S"
"21",3,22,1980,"control","PF","S"
"22",4,17,1980,"control","PF","S"
"23",4,18,1980,"control","PF","S"
"24",4,18,1980,"control","PF","S"
"25",4,18,1980,"control","PF","S"
"26",4,18,1980,"control","PF","S"
"27",5,17,1980,"control","PP","S"
"28",6,23,1980,"control","PP","S"
"29",6,23,1980,"control","PF","S"
"30",7,21,1980,"control","PF","S"
"31",9,7,1980,"control","PF","S"
"32",10,12,1980,"control","PF","S"
"33",1,12,1981,"control","RM","S"
"34",1,12,1981,"control","PF","S"
"35",1,31,1981,"control","PF","S"
"36",2,1,1981,"control","PF","S"
"37",4,5,1981,"control","PE","S"
"38",4,5,1981,"control","PM","S"
"39",4,5,1981,"control","PE","S"
"40",4,6,1981,"control","PE","S"
"41",5,4,1981,"control","PF","S"
"42",6,4,1981,"control","PF","S"
"43",6,4,1981,"control","PF","S"
"44",6,5,1981,"control","PE","S"
"45",7,7,1981,"control","PF","S"
"46",7,8,1981,"control","PF","S"
"47",8,30,1981,"control","PP","R"
"48",10,1,1981,"control","RM","S"
"49",1,24,1982,"control","RM","S"
"50",1,25,1982,"control","RM","S"
"51",2,22,1982,"control","RM","S"
"52",2,22,1982,"control","RM","S"
"53",2,22,1982,"control","RM","S"
"54",2,22,1982,"control","RM","S"
