"","month","day","year","treatment","species","testes"
"1",10,17,1977,"exclosure","RM","S"
"2",12,11,1977,"exclosure","PF","S"
"3",1,8,1978,"exclosure","PF","S"
"4",3,11,1978,"exclosure","PF","S"
"5",6,8,1978,"exclosure","PF","S"
"6",7,7,1978,"exclosure","PF","S"
"7",8,4,1978,"exclosure","PF","S"
"8",9,3,1978,"exclosure","PF","S"
"9",9,3,1978,"exclosure","PF","S"
"10",5,30,1979,"exclosure","PP","S"
"11",7,24,1979,"exclosure","PF","S"
"12",10,25,1979,"exclosure","PF","S"
"13",11,17,1979,"exclosure","PF","S"
"14",11,18,1979,"exclosure","PF","S"
"15",1,15,1980,"exclosure","PF","S"
"16",1,16,1980,"exclosure","PF","S"
"17",2,24,1980,"exclosure","PF","S"
"18",2,25,1980,"exclosure","RM","S"
"19",2,25,1980,"exclosure","PF","S"
"20",2,25,1980,"exclosure","PF","S"
"21",3,9,1980,"exclosure","PF","S"
"22",3,9,1980,"exclosure","PF","S"
"23",3,9,1980,"exclosure","PF","S"
"24",3,9,1980,"exclosure","PF","S"
"25",3,9,1980,"exclosure","RM","S"
"26",3,9,1980,"exclosure","PF","S"
"27",3,9,1980,"exclosure","PE","S"
"28",3,21,1980,"exclosure","PF","S"
"29",3,21,1980,"exclosure","RM","S"
"30",3,22,1980,"exclosure","RM","S"
"31",3,22,1980,"exclosure","RM","S"
"32",3,22,1980,"exclosure","PF","S"
"33",3,22,1980,"exclosure","PF","S"
"34",4,17,1980,"exclosure","RM","S"
"35",4,18,1980,"exclosure","PF","S"
"36",4,18,1980,"exclosure","PF","S"
"37",4,18,1980,"exclosure","PF","S"
"38",5,18,1980,"exclosure","PF","S"
"39",7,22,1980,"exclosure","PF","S"
"40",8,13,1980,"exclosure","PF","S"
"41",9,7,1980,"exclosure","PF","S"
"42",9,8,1980,"exclosure","PF","S"
"43",9,8,1980,"exclosure","PF","S"
"44",10,12,1980,"exclosure","PF","S"
"45",12,15,1980,"exclosure","PF","S"
"46",12,16,1980,"exclosure","PF","S"
"47",1,11,1981,"exclosure","RM","S"
"48",1,11,1981,"exclosure","PF","S"
"49",3,8,1981,"exclosure","RM","S"
"50",3,8,1981,"exclosure","PF","S"
"51",4,5,1981,"exclosure","PF","S"
"52",4,5,1981,"exclosure","PF","S"
"53",4,6,1981,"exclosure","PF","S"
"54",4,6,1981,"exclosure","PM","S"
"55",5,3,1981,"exclosure","PF","S"
"56",5,4,1981,"exclosure","PF","S"
"57",5,4,1981,"exclosure","PF","S"
"58",6,4,1981,"exclosure","PM","S"
"59",6,4,1981,"exclosure","PF","S"
"60",6,5,1981,"exclosure","RM","R"
"61",7,7,1981,"exclosure","PM","S"
"62",7,8,1981,"exclosure","PF","S"
"63",7,8,1981,"exclosure","PF","S"
"64",8,31,1981,"exclosure","PF","S"
"65",11,22,1981,"exclosure","PF","S"
"66",1,1,1982,"exclosure","PM","S"
"67",1,24,1982,"exclosure","PF","S"
"68",1,24,1982,"exclosure","PM","S"
"69",1,24,1982,"exclosure","RM","S"
"70",1,24,1982,"exclosure","RM","S"
"71",1,24,1982,"exclosure","PF","S"
