"","Month","species","total_n","total_rep","total_prop","trt","month"
"1","Apr","PB",71,47,0.661971830985915,"control","4"
"2","Apr","PB",146,95,0.650684931506849,"exclosure","4"
"3","Apr","PE",49,24,0.489795918367347,"control","4"
"4","Apr","PE",32,10,0.3125,"exclosure","4"
"5","Apr","PF",38,31,0.815789473684211,"control","4"
"6","Apr","PF",81,65,0.802469135802469,"exclosure","4"
"7","Apr","PM",16,8,0.5,"control","4"
"8","Apr","PM",30,15,0.5,"exclosure","4"
"9","Apr","PP",328,281,0.856707317073171,"control","4"
"10","Apr","PP",351,315,0.897435897435897,"exclosure","4"
"11","Apr","RM",52,31,0.596153846153846,"control","4"
"12","Apr","RM",81,50,0.617283950617284,"exclosure","4"
"13","Aug","PB",100,19,0.19,"control","8"
"14","Aug","PB",167,47,0.281437125748503,"exclosure","8"
"15","Aug","PE",19,5,0.263157894736842,"control","8"
"16","Aug","PE",12,9,0.75,"exclosure","8"
"17","Aug","PF",22,16,0.727272727272727,"control","8"
"18","Aug","PF",40,33,0.825,"exclosure","8"
"19","Aug","PM",10,5,0.5,"control","8"
"20","Aug","PM",8,5,0.625,"exclosure","8"
"21","Aug","PP",263,47,0.178707224334601,"control","8"
"22","Aug","PP",183,46,0.251366120218579,"exclosure","8"
"23","Aug","RM",4,1,0.25,"control","8"
"24","Aug","RM",5,5,1,"exclosure","8"
"25","Dec","PB",112,21,0.1875,"control","12"
"26","Dec","PB",166,30,0.180722891566265,"exclosure","12"
"27","Dec","PE",35,0,0,"control","12"
"28","Dec","PE",25,0,0,"exclosure","12"
"29","Dec","PF",13,10,0.769230769230769,"control","12"
"30","Dec","PF",34,14,0.411764705882353,"exclosure","12"
"31","Dec","PM",8,1,0.125,"control","12"
"32","Dec","PM",18,6,0.333333333333333,"exclosure","12"
"33","Dec","PP",52,4,0.0769230769230769,"control","12"
"34","Dec","PP",5,1,0.2,"exclosure","12"
"35","Dec","RM",33,9,0.272727272727273,"control","12"
"36","Dec","RM",84,17,0.202380952380952,"exclosure","12"
"37","Feb","PB",92,58,0.630434782608696,"control","2"
"38","Feb","PB",118,66,0.559322033898305,"exclosure","2"
"39","Feb","PE",45,7,0.155555555555556,"control","2"
"40","Feb","PE",41,5,0.121951219512195,"exclosure","2"
"41","Feb","PF",21,10,0.476190476190476,"control","2"
"42","Feb","PF",52,28,0.538461538461538,"exclosure","2"
"43","Feb","PM",12,2,0.166666666666667,"control","2"
"44","Feb","PM",24,9,0.375,"exclosure","2"
"45","Feb","PP",64,33,0.515625,"control","2"
"46","Feb","PP",48,36,0.75,"exclosure","2"
"47","Feb","RM",64,28,0.4375,"control","2"
"48","Feb","RM",115,46,0.4,"exclosure","2"
"49","Jan","PB",78,27,0.346153846153846,"control","1"
"50","Jan","PB",130,42,0.323076923076923,"exclosure","1"
"51","Jan","PE",42,1,0.0238095238095238,"control","1"
"52","Jan","PE",25,1,0.04,"exclosure","1"
"53","Jan","PF",12,5,0.416666666666667,"control","1"
"54","Jan","PF",36,16,0.444444444444444,"exclosure","1"
"55","Jan","PM",8,1,0.125,"control","1"
"56","Jan","PM",19,3,0.157894736842105,"exclosure","1"
"57","Jan","PP",17,4,0.235294117647059,"control","1"
"58","Jan","PP",16,7,0.4375,"exclosure","1"
"59","Jan","RM",54,11,0.203703703703704,"control","1"
"60","Jan","RM",96,22,0.229166666666667,"exclosure","1"
"61","Jul","PB",144,27,0.1875,"control","7"
"62","Jul","PB",249,73,0.293172690763052,"exclosure","7"
"63","Jul","PE",23,7,0.304347826086957,"control","7"
"64","Jul","PE",23,11,0.478260869565217,"exclosure","7"
"65","Jul","PF",26,21,0.807692307692308,"control","7"
"66","Jul","PF",63,51,0.80952380952381,"exclosure","7"
"67","Jul","PM",9,4,0.444444444444444,"control","7"
"68","Jul","PM",27,18,0.666666666666667,"exclosure","7"
"69","Jul","PP",400,102,0.255,"control","7"
"70","Jul","PP",351,119,0.339031339031339,"exclosure","7"
"71","Jul","RM",9,6,0.666666666666667,"control","7"
"72","Jul","RM",29,21,0.724137931034483,"exclosure","7"
"73","Jun","PB",134,34,0.253731343283582,"control","6"
"74","Jun","PB",233,78,0.334763948497854,"exclosure","6"
"75","Jun","PE",22,7,0.318181818181818,"control","6"
"76","Jun","PE",32,15,0.46875,"exclosure","6"
"77","Jun","PF",34,26,0.764705882352941,"control","6"
"78","Jun","PF",61,53,0.868852459016393,"exclosure","6"
"79","Jun","PM",17,8,0.470588235294118,"control","6"
"80","Jun","PM",21,13,0.619047619047619,"exclosure","6"
"81","Jun","PP",367,192,0.523160762942779,"control","6"
"82","Jun","PP",317,160,0.504731861198738,"exclosure","6"
"83","Jun","RM",16,7,0.4375,"control","6"
"84","Jun","RM",29,24,0.827586206896552,"exclosure","6"
"85","Mar","PB",140,91,0.65,"control","3"
