"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1998,5,"exclosure",NA,NA,"PB"
"2",1,"Jan",1999,3,"exclosure",NA,NA,"PB"
"3",1,"Jan",2000,10,"exclosure",8,0.8,"PB"
"4",1,"Jan",2001,6,"exclosure",4,0.666666666666667,"PB"
"5",1,"Jan",2002,7,"exclosure",4,0.571428571428571,"PB"
"6",1,"Jan",2004,12,"exclosure",4,0.333333333333333,"PB"
"7",1,"Jan",2005,7,"exclosure",3,0.428571428571429,"PB"
"8",1,"Jan",2006,36,"exclosure",12,0.333333333333333,"PB"
"9",1,"Jan",2007,8,"exclosure",3,0.375,"PB"
"10",1,"Jan",2008,15,"exclosure",1,0.0666666666666667,"PB"
"11",1,"Jan",2009,8,"exclosure",NA,NA,"PB"
"12",1,"Jan",2010,1,"exclosure",NA,NA,"PB"
"13",1,"Jan",2011,1,"exclosure",NA,NA,"PB"
"14",1,"Jan",2012,2,"exclosure",1,0.5,"PB"
"15",1,"Jan",2013,3,"exclosure",NA,NA,"PB"
"16",1,"Jan",2015,3,"exclosure",2,0.666666666666667,"PB"
"17",1,"Jan",2018,1,"exclosure",NA,NA,"PB"
"18",1,"Jan",2020,2,"exclosure",NA,NA,"PB"
"19",2,"Feb",1997,1,"exclosure",NA,NA,"PB"
"20",2,"Feb",1998,1,"exclosure",NA,NA,"PB"
"21",2,"Feb",1999,5,"exclosure",4,0.8,"PB"
"22",2,"Feb",2000,9,"exclosure",5,0.555555555555556,"PB"
"23",2,"Feb",2002,18,"exclosure",16,0.888888888888889,"PB"
"24",2,"Feb",2003,19,"exclosure",14,0.736842105263158,"PB"
"25",2,"Feb",2004,7,"exclosure",4,0.571428571428571,"PB"
"26",2,"Feb",2007,14,"exclosure",10,0.714285714285714,"PB"
"27",2,"Feb",2008,13,"exclosure",1,0.0769230769230769,"PB"
"28",2,"Feb",2009,7,"exclosure",2,0.285714285714286,"PB"
"29",2,"Feb",2010,1,"exclosure",1,1,"PB"
"30",2,"Feb",2012,2,"exclosure",2,1,"PB"
"31",2,"Feb",2013,6,"exclosure",1,0.166666666666667,"PB"
"32",2,"Feb",2014,3,"exclosure",NA,NA,"PB"
"33",2,"Feb",2015,6,"exclosure",4,0.666666666666667,"PB"
"34",2,"Feb",2016,2,"exclosure",1,0.5,"PB"
"35",2,"Feb",2017,2,"exclosure",1,0.5,"PB"
"36",2,"Feb",2018,1,"exclosure",NA,NA,"PB"
"37",2,"Feb",2020,1,"exclosure",NA,NA,"PB"
"38",3,"Mar",1997,3,"exclosure",1,0.333333333333333,"PB"
"39",3,"Mar",1998,10,"exclosure",2,0.2,"PB"
"40",3,"Mar",1999,4,"exclosure",3,0.75,"PB"
"41",3,"Mar",2000,11,"exclosure",10,0.909090909090909,"PB"
"42",3,"Mar",2001,9,"exclosure",8,0.888888888888889,"PB"
"43",3,"Mar",2002,14,"exclosure",14,1,"PB"
"44",3,"Mar",2003,34,"exclosure",30,0.882352941176471,"PB"
"45",3,"Mar",2004,9,"exclosure",9,1,"PB"
"46",3,"Mar",2005,7,"exclosure",5,0.714285714285714,"PB"
"47",3,"Mar",2006,34,"exclosure",21,0.617647058823529,"PB"
"48",3,"Mar",2007,12,"exclosure",11,0.916666666666667,"PB"
"49",3,"Mar",2008,15,"exclosure",3,0.2,"PB"
"50",3,"Mar",2009,7,"exclosure",4,0.571428571428571,"PB"
"51",3,"Mar",2010,1,"exclosure",1,1,"PB"
"52",3,"Mar",2012,2,"exclosure",1,0.5,"PB"
"53",3,"Mar",2013,6,"exclosure",2,0.333333333333333,"PB"
"54",3,"Mar",2014,6,"exclosure",3,0.5,"PB"
"55",3,"Mar",2015,5,"exclosure",4,0.8,"PB"
"56",3,"Mar",2016,1,"exclosure",NA,NA,"PB"
"57",3,"Mar",2017,1,"exclosure",1,1,"PB"
"58",3,"Mar",2018,1,"exclosure",1,1,"PB"
"59",3,"Mar",2019,1,"exclosure",1,1,"PB"
"60",4,"Apr",1997,1,"exclosure",NA,NA,"PB"
"61",4,"Apr",1999,6,"exclosure",3,0.5,"PB"
"62",4,"Apr",2000,11,"exclosure",7,0.636363636363636,"PB"
"63",4,"Apr",2001,10,"exclosure",10,1,"PB"
"64",4,"Apr",2002,19,"exclosure",15,0.789473684210526,"PB"
"65",4,"Apr",2004,5,"exclosure",3,0.6,"PB"
"66",4,"Apr",2005,7,"exclosure",7,1,"PB"
"67",4,"Apr",2006,16,"exclosure",16,1,"PB"
