"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1998,3,"exclosure",NA,NA,"PB"
"2",1,"Jan",1999,16,"exclosure",NA,NA,"PB"
"3",1,"Jan",2000,12,"exclosure",7,0.583333333333333,"PB"
"4",1,"Jan",2001,11,"exclosure",NA,NA,"PB"
"5",1,"Jan",2002,11,"exclosure",1,0.0909090909090909,"PB"
"6",1,"Jan",2004,22,"exclosure",NA,NA,"PB"
"7",1,"Jan",2005,11,"exclosure",NA,NA,"PB"
"8",1,"Jan",2006,39,"exclosure",NA,NA,"PB"
"9",1,"Jan",2007,23,"exclosure",1,0.0434782608695652,"PB"
"10",1,"Jan",2008,21,"exclosure",NA,NA,"PB"
"11",1,"Jan",2009,9,"exclosure",1,0.111111111111111,"PB"
"12",1,"Jan",2013,2,"exclosure",NA,NA,"PB"
"13",1,"Jan",2015,9,"exclosure",NA,NA,"PB"
"14",1,"Jan",2017,3,"exclosure",NA,NA,"PB"
"15",1,"Jan",2018,3,"exclosure",NA,NA,"PB"
"16",1,"Jan",2020,4,"exclosure",NA,NA,"PB"
"17",2,"Feb",1997,3,"exclosure",NA,NA,"PB"
"18",2,"Feb",1998,3,"exclosure",NA,NA,"PB"
"19",2,"Feb",1999,16,"exclosure",1,0.0625,"PB"
"20",2,"Feb",2000,13,"exclosure",9,0.692307692307692,"PB"
"21",2,"Feb",2002,26,"exclosure",2,0.0769230769230769,"PB"
"22",2,"Feb",2003,53,"exclosure",11,0.207547169811321,"PB"
"23",2,"Feb",2004,22,"exclosure",NA,NA,"PB"
"24",2,"Feb",2007,34,"exclosure",2,0.0588235294117647,"PB"
"25",2,"Feb",2008,20,"exclosure",NA,NA,"PB"
"26",2,"Feb",2009,9,"exclosure",NA,NA,"PB"
"27",2,"Feb",2013,2,"exclosure",NA,NA,"PB"
"28",2,"Feb",2014,4,"exclosure",NA,NA,"PB"
"29",2,"Feb",2015,7,"exclosure",7,1,"PB"
"30",2,"Feb",2016,1,"exclosure",NA,NA,"PB"
"31",2,"Feb",2018,1,"exclosure",NA,NA,"PB"
"32",2,"Feb",2019,1,"exclosure",NA,NA,"PB"
"33",2,"Feb",2020,1,"exclosure",NA,NA,"PB"
"34",3,"Mar",1997,1,"exclosure",1,1,"PB"
"35",3,"Mar",1998,12,"exclosure",2,0.166666666666667,"PB"
"36",3,"Mar",1999,14,"exclosure",1,0.0714285714285714,"PB"
"37",3,"Mar",2000,14,"exclosure",12,0.857142857142857,"PB"
"38",3,"Mar",2001,11,"exclosure",9,0.818181818181818,"PB"
"39",3,"Mar",2002,24,"exclosure",5,0.208333333333333,"PB"
"40",3,"Mar",2003,92,"exclosure",33,0.358695652173913,"PB"
"41",3,"Mar",2004,19,"exclosure",NA,NA,"PB"
"42",3,"Mar",2005,9,"exclosure",3,0.333333333333333,"PB"
"43",3,"Mar",2006,40,"exclosure",NA,NA,"PB"
"44",3,"Mar",2007,35,"exclosure",17,0.485714285714286,"PB"
"45",3,"Mar",2008,15,"exclosure",NA,NA,"PB"
"46",3,"Mar",2009,7,"exclosure",1,0.142857142857143,"PB"
"47",3,"Mar",2010,2,"exclosure",NA,NA,"PB"
"48",3,"Mar",2013,2,"exclosure",NA,NA,"PB"
"49",3,"Mar",2014,6,"exclosure",4,0.666666666666667,"PB"
"50",3,"Mar",2015,6,"exclosure",5,0.833333333333333,"PB"
"51",3,"Mar",2016,1,"exclosure",NA,NA,"PB"
"52",3,"Mar",2018,4,"exclosure",NA,NA,"PB"
"53",3,"Mar",2019,2,"exclosure",NA,NA,"PB"
"54",4,"Apr",1997,2,"exclosure",1,0.5,"PB"
"55",4,"Apr",1999,21,"exclosure",6,0.285714285714286,"PB"
"56",4,"Apr",2000,16,"exclosure",13,0.8125,"PB"
"57",4,"Apr",2001,7,"exclosure",6,0.857142857142857,"PB"
"58",4,"Apr",2002,21,"exclosure",20,0.952380952380952,"PB"
"59",4,"Apr",2004,8,"exclosure",3,0.375,"PB"
"60",4,"Apr",2005,8,"exclosure",8,1,"PB"
"61",4,"Apr",2006,18,"exclosure",16,0.888888888888889,"PB"
"62",4,"Apr",2007,42,"exclosure",26,0.619047619047619,"PB"
"63",4,"Apr",2008,16,"exclosure",2,0.125,"PB"
"64",4,"Apr",2009,15,"exclosure",4,0.266666666666667,"PB"
"65",4,"Apr",2013,2,"exclosure",2,1,"PB"
"66",4,"Apr",2014,9,"exclosure",6,0.666666666666667,"PB"
"67",4,"Apr",2015,2,"exclosure",2,1,"PB"
"68",4,"Apr",2017,1,"exclosure",1,1,"PB"
"69",4,"Apr",2018,2,"exclosure",NA,NA,"PB"
"70",4,"Apr",2019,3,"exclosure",1,0.333333333333333,"PB"
"71",5,"May",1997,4,"exclosure",2,0.5,"PB"
"72",5,"May",1998,16,"exclosure",11,0.6875,"PB"
"73",5,"May",1999,16,"exclosure",12,0.75,"PB"
"74",5,"May",2001,8,"exclosure",8,1,"PB"
"75",5,"May",2002,36,"exclosure",22,0.611111111111111,"PB"
"76",5,"May",2003,122,"exclosure",68,0.557377049180328,"PB"
"77",5,"May",2004,13,"exclosure",8,0.615384615384615,"PB"
"78",5,"May",2005,11,"exclosure",6,0.545454545454545,"PB"
"79",5,"May",2006,24,"exclosure",14,0.583333333333333,"PB"
"80",5,"May",2007,73,"exclosure",35,0.479452054794521,"PB"
"81",5,"May",2008,17,"exclosure",6,0.352941176470588,"PB"
"82",5,"May",2009,20,"exclosure",3,0.15,"PB"
"83",5,"May",2010,1,"exclosure",1,1,"PB"
"84",5,"May",2012,3,"exclosure",NA,NA,"PB"
"85",5,"May",2013,4,"exclosure",2,0.5,"PB"
"86",5,"May",2014,7,"exclosure",6,0.857142857142857,"PB"
"87",5,"May",2015,3,"exclosure",3,1,"PB"
"88",5,"May",2016,2,"exclosure",1,0.5,"PB"
"89",5,"May",2017,2,"exclosure",1,0.5,"PB"
"90",5,"May",2018,1,"exclosure",NA,NA,"PB"
"91",5,"May",2019,3,"exclosure",3,1,"PB"
"92",6,"Jun",1996,1,"exclosure",NA,NA,"PB"
"93",6,"Jun",1997,12,"exclosure",2,0.166666666666667,"PB"
"94",6,"Jun",1998,19,"exclosure",12,0.631578947368421,"PB"
"95",6,"Jun",1999,25,"exclosure",13,0.52,"PB"
"96",6,"Jun",2000,22,"exclosure",18,0.818181818181818,"PB"
"97",6,"Jun",2001,9,"exclosure",4,0.444444444444444,"PB"
"98",6,"Jun",2002,39,"exclosure",21,0.538461538461538,"PB"
"99",6,"Jun",2003,51,"exclosure",10,0.196078431372549,"PB"
"100",6,"Jun",2004,11,"exclosure",7,0.636363636363636,"PB"
"101",6,"Jun",2005,15,"exclosure",7,0.466666666666667,"PB"
"102",6,"Jun",2006,16,"exclosure",10,0.625,"PB"
"103",6,"Jun",2007,89,"exclosure",16,0.179775280898876,"PB"
"104",6,"Jun",2008,46,"exclosure",7,0.152173913043478,"PB"
"105",6,"Jun",2009,25,"exclosure",3,0.12,"PB"
"106",6,"Jun",2012,4,"exclosure",2,0.5,"PB"
"107",6,"Jun",2014,16,"exclosure",9,0.5625,"PB"
"108",6,"Jun",2015,6,"exclosure",3,0.5,"PB"
"109",6,"Jun",2016,4,"exclosure",1,0.25,"PB"
"110",6,"Jun",2017,1,"exclosure",1,1,"PB"
"111",6,"Jun",2018,3,"exclosure",NA,NA,"PB"
"112",6,"Jun",2019,4,"exclosure",4,1,"PB"
"113",7,"Jul",1997,20,"exclosure",2,0.1,"PB"
"114",7,"Jul",1998,19,"exclosure",11,0.578947368421053,"PB"
"115",7,"Jul",2000,35,"exclosure",23,0.657142857142857,"PB"
"116",7,"Jul",2001,11,"exclosure",6,0.545454545454545,"PB"
"117",7,"Jul",2002,43,"exclosure",17,0.395348837209302,"PB"
"118",7,"Jul",2003,55,"exclosure",8,0.145454545454545,"PB"
"119",7,"Jul",2004,14,"exclosure",8,0.571428571428571,"PB"
"120",7,"Jul",2005,27,"exclosure",7,0.259259259259259,"PB"
"121",7,"Jul",2006,34,"exclosure",14,0.411764705882353,"PB"
"122",7,"Jul",2007,95,"exclosure",11,0.115789473684211,"PB"
"123",7,"Jul",2008,5,"exclosure",NA,NA,"PB"
"124",7,"Jul",2009,17,"exclosure",NA,NA,"PB"
"125",7,"Jul",2012,8,"exclosure",NA,NA,"PB"
"126",7,"Jul",2013,3,"exclosure",NA,NA,"PB"
"127",7,"Jul",2015,5,"exclosure",2,0.4,"PB"
"128",7,"Jul",2016,4,"exclosure",NA,NA,"PB"
"129",7,"Jul",2017,5,"exclosure",2,0.4,"PB"
"130",7,"Jul",2018,4,"exclosure",2,0.5,"PB"
"131",7,"Jul",2019,2,"exclosure",2,1,"PB"
"132",8,"Aug",1996,1,"exclosure",NA,NA,"PB"
"133",8,"Aug",1998,13,"exclosure",9,0.692307692307692,"PB"
"134",8,"Aug",2000,22,"exclosure",9,0.409090909090909,"PB"
"135",8,"Aug",2001,34,"exclosure",11,0.323529411764706,"PB"
"136",8,"Aug",2003,47,"exclosure",2,0.0425531914893617,"PB"
"137",8,"Aug",2004,14,"exclosure",2,0.142857142857143,"PB"
"138",8,"Aug",2005,29,"exclosure",7,0.241379310344828,"PB"
"139",8,"Aug",2006,9,"exclosure",4,0.444444444444444,"PB"
"140",8,"Aug",2007,43,"exclosure",NA,NA,"PB"
"141",8,"Aug",2008,14,"exclosure",NA,NA,"PB"
"142",8,"Aug",2009,7,"exclosure",NA,NA,"PB"
"143",8,"Aug",2011,1,"exclosure",NA,NA,"PB"
"144",8,"Aug",2012,10,"exclosure",NA,NA,"PB"
"145",8,"Aug",2014,29,"exclosure",6,0.206896551724138,"PB"
"146",8,"Aug",2015,4,"exclosure",1,0.25,"PB"
"147",8,"Aug",2016,4,"exclosure",1,0.25,"PB"
"148",8,"Aug",2017,5,"exclosure",1,0.2,"PB"
"149",8,"Aug",2018,3,"exclosure",NA,NA,"PB"
"150",8,"Aug",2019,3,"exclosure",1,0.333333333333333,"PB"
"151",9,"Sept",1996,2,"exclosure",NA,NA,"PB"
"152",9,"Sept",1997,12,"exclosure",NA,NA,"PB"
"153",9,"Sept",1998,10,"exclosure",1,0.1,"PB"
"154",9,"Sept",1999,5,"exclosure",5,1,"PB"
"155",9,"Sept",2000,10,"exclosure",NA,NA,"PB"
"156",9,"Sept",2001,36,"exclosure",3,0.0833333333333333,"PB"
"157",9,"Sept",2002,12,"exclosure",10,0.833333333333333,"PB"
"158",9,"Sept",2003,39,"exclosure",NA,NA,"PB"
"159",9,"Sept",2004,16,"exclosure",6,0.375,"PB"
"160",9,"Sept",2005,49,"exclosure",3,0.0612244897959184,"PB"
"161",9,"Sept",2006,15,"exclosure",13,0.866666666666667,"PB"
"162",9,"Sept",2007,75,"exclosure",3,0.04,"PB"
"163",9,"Sept",2008,16,"exclosure",1,0.0625,"PB"
"164",9,"Sept",2009,4,"exclosure",1,0.25,"PB"
"165",9,"Sept",2012,6,"exclosure",1,0.166666666666667,"PB"
"166",9,"Sept",2013,3,"exclosure",1,0.333333333333333,"PB"
"167",9,"Sept",2014,19,"exclosure",2,0.105263157894737,"PB"
"168",9,"Sept",2015,4,"exclosure",1,0.25,"PB"
"169",9,"Sept",2016,5,"exclosure",NA,NA,"PB"
"170",9,"Sept",2017,5,"exclosure",1,0.2,"PB"
"171",9,"Sept",2018,4,"exclosure",1,0.25,"PB"
"172",9,"Sept",2019,8,"exclosure",1,0.125,"PB"
"173",10,"Oct",1995,1,"exclosure",NA,NA,"PB"
"174",10,"Oct",1996,1,"exclosure",NA,NA,"PB"
"175",10,"Oct",1997,9,"exclosure",NA,NA,"PB"
"176",10,"Oct",1998,10,"exclosure",NA,NA,"PB"
"177",10,"Oct",1999,11,"exclosure",11,1,"PB"
"178",10,"Oct",2000,7,"exclosure",NA,NA,"PB"
"179",10,"Oct",2001,31,"exclosure",3,0.0967741935483871,"PB"
"180",10,"Oct",2002,48,"exclosure",26,0.541666666666667,"PB"
"181",10,"Oct",2003,29,"exclosure",NA,NA,"PB"
"182",10,"Oct",2004,11,"exclosure",2,0.181818181818182,"PB"
"183",10,"Oct",2005,17,"exclosure",NA,NA,"PB"
"184",10,"Oct",2006,27,"exclosure",16,0.592592592592593,"PB"
"185",10,"Oct",2007,59,"exclosure",2,0.0338983050847458,"PB"
"186",10,"Oct",2008,16,"exclosure",NA,NA,"PB"
"187",10,"Oct",2009,1,"exclosure",NA,NA,"PB"
"188",10,"Oct",2012,4,"exclosure",NA,NA,"PB"
"189",10,"Oct",2014,17,"exclosure",1,0.0588235294117647,"PB"
"190",10,"Oct",2015,5,"exclosure",NA,NA,"PB"
"191",10,"Oct",2016,4,"exclosure",NA,NA,"PB"
"192",10,"Oct",2017,3,"exclosure",NA,NA,"PB"
"193",10,"Oct",2018,4,"exclosure",NA,NA,"PB"
"194",10,"Oct",2019,3,"exclosure",NA,NA,"PB"
"195",11,"Nov",1996,2,"exclosure",NA,NA,"PB"
"196",11,"Nov",1997,9,"exclosure",NA,NA,"PB"
"197",11,"Nov",1998,14,"exclosure",1,0.0714285714285714,"PB"
"198",11,"Nov",1999,14,"exclosure",13,0.928571428571429,"PB"
"199",11,"Nov",2000,9,"exclosure",1,0.111111111111111,"PB"
"200",11,"Nov",2001,31,"exclosure",NA,NA,"PB"
"201",11,"Nov",2002,46,"exclosure",20,0.434782608695652,"PB"
"202",11,"Nov",2003,28,"exclosure",NA,NA,"PB"
"203",11,"Nov",2004,6,"exclosure",NA,NA,"PB"
"204",11,"Nov",2005,34,"exclosure",NA,NA,"PB"
"205",11,"Nov",2006,36,"exclosure",16,0.444444444444444,"PB"
"206",11,"Nov",2007,49,"exclosure",NA,NA,"PB"
"207",11,"Nov",2008,14,"exclosure",NA,NA,"PB"
"208",11,"Nov",2009,2,"exclosure",NA,NA,"PB"
"209",11,"Nov",2012,3,"exclosure",NA,NA,"PB"
"210",11,"Nov",2013,4,"exclosure",NA,NA,"PB"
"211",11,"Nov",2014,13,"exclosure",NA,NA,"PB"
"212",11,"Nov",2015,6,"exclosure",NA,NA,"PB"
"213",11,"Nov",2016,4,"exclosure",NA,NA,"PB"
"214",11,"Nov",2017,3,"exclosure",NA,NA,"PB"
"215",11,"Nov",2018,4,"exclosure",NA,NA,"PB"
"216",11,"Nov",2019,4,"exclosure",NA,NA,"PB"
"217",12,"Dec",1996,2,"exclosure",NA,NA,"PB"
"218",12,"Dec",1997,7,"exclosure",NA,NA,"PB"
"219",12,"Dec",1998,14,"exclosure",NA,NA,"PB"
"220",12,"Dec",1999,13,"exclosure",10,0.769230769230769,"PB"
"221",12,"Dec",2000,10,"exclosure",NA,NA,"PB"
"222",12,"Dec",2001,19,"exclosure",NA,NA,"PB"
"223",12,"Dec",2002,81,"exclosure",29,0.358024691358025,"PB"
"224",12,"Dec",2003,27,"exclosure",NA,NA,"PB"
"225",12,"Dec",2004,12,"exclosure",NA,NA,"PB"
"226",12,"Dec",2005,22,"exclosure",NA,NA,"PB"
"227",12,"Dec",2006,40,"exclosure",15,0.375,"PB"
"228",12,"Dec",2007,29,"exclosure",NA,NA,"PB"
"229",12,"Dec",2008,9,"exclosure",NA,NA,"PB"
"230",12,"Dec",2009,2,"exclosure",NA,NA,"PB"
"231",12,"Dec",2012,3,"exclosure",NA,NA,"PB"
"232",12,"Dec",2013,5,"exclosure",NA,NA,"PB"
"233",12,"Dec",2014,9,"exclosure",NA,NA,"PB"
"234",12,"Dec",2016,1,"exclosure",NA,NA,"PB"
"235",12,"Dec",2017,2,"exclosure",NA,NA,"PB"
"236",12,"Dec",2018,1,"exclosure",NA,NA,"PB"
"237",12,"Dec",2019,2,"exclosure",NA,NA,"PB"
"238",1,"Jan",1998,1,"control",NA,NA,"PB"
"239",1,"Jan",1999,4,"control",NA,NA,"PB"
"240",1,"Jan",2000,5,"control",3,0.6,"PB"
"241",1,"Jan",2001,2,"control",NA,NA,"PB"
"242",1,"Jan",2002,3,"control",1,0.333333333333333,"PB"
"243",1,"Jan",2004,6,"control",NA,NA,"PB"
"244",1,"Jan",2005,14,"control",NA,NA,"PB"
"245",1,"Jan",2006,22,"control",NA,NA,"PB"
"246",1,"Jan",2007,11,"control",1,0.0909090909090909,"PB"
"247",1,"Jan",2008,19,"control",NA,NA,"PB"
"248",1,"Jan",2009,3,"control",NA,NA,"PB"
"249",1,"Jan",2012,1,"control",NA,NA,"PB"
"250",1,"Jan",2016,1,"control",NA,NA,"PB"
"251",1,"Jan",2020,1,"control",NA,NA,"PB"
"252",2,"Feb",1997,1,"control",1,1,"PB"
"253",2,"Feb",1999,4,"control",NA,NA,"PB"
"254",2,"Feb",2000,10,"control",2,0.2,"PB"
"255",2,"Feb",2002,9,"control",NA,NA,"PB"
"256",2,"Feb",2003,17,"control",3,0.176470588235294,"PB"
"257",2,"Feb",2004,5,"control",NA,NA,"PB"
"258",2,"Feb",2007,24,"control",2,0.0833333333333333,"PB"
"259",2,"Feb",2008,16,"control",NA,NA,"PB"
"260",2,"Feb",2009,4,"control",NA,NA,"PB"
"261",2,"Feb",2012,1,"control",1,1,"PB"
"262",2,"Feb",2014,1,"control",NA,NA,"PB"
"263",2,"Feb",2015,3,"control",3,1,"PB"
"264",2,"Feb",2020,1,"control",NA,NA,"PB"
"265",3,"Mar",1998,3,"control",1,0.333333333333333,"PB"
"266",3,"Mar",1999,3,"control",1,0.333333333333333,"PB"
"267",3,"Mar",2000,13,"control",5,0.384615384615385,"PB"
"268",3,"Mar",2001,3,"control",NA,NA,"PB"
"269",3,"Mar",2002,12,"control",1,0.0833333333333333,"PB"
"270",3,"Mar",2003,37,"control",12,0.324324324324324,"PB"
"271",3,"Mar",2004,8,"control",NA,NA,"PB"
"272",3,"Mar",2005,10,"control",1,0.1,"PB"
"273",3,"Mar",2006,16,"control",1,0.0625,"PB"
"274",3,"Mar",2007,20,"control",7,0.35,"PB"
"275",3,"Mar",2008,13,"control",NA,NA,"PB"
"276",3,"Mar",2009,3,"control",NA,NA,"PB"
"277",3,"Mar",2012,1,"control",1,1,"PB"
"278",3,"Mar",2014,1,"control",1,1,"PB"
"279",4,"Apr",1999,2,"control",1,0.5,"PB"
"280",4,"Apr",2000,12,"control",11,0.916666666666667,"PB"
"281",4,"Apr",2001,2,"control",NA,NA,"PB"
"282",4,"Apr",2002,9,"control",8,0.888888888888889,"PB"
"283",4,"Apr",2004,4,"control",1,0.25,"PB"
"284",4,"Apr",2005,8,"control",8,1,"PB"
