"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1980,1,"exclosure",NA,NA,"PE"
"2",1,"Jan",1982,2,"exclosure",2,1,"PE"
"3",1,"Jan",1985,1,"exclosure",1,1,"PE"
"4",1,"Jan",1988,2,"exclosure",NA,NA,"PE"
"5",1,"Jan",1989,2,"exclosure",1,0.5,"PE"
"6",1,"Jan",1990,4,"exclosure",1,0.25,"PE"
"7",1,"Jan",1992,1,"exclosure",NA,NA,"PE"
"8",1,"Jan",2002,1,"exclosure",NA,NA,"PE"
"9",1,"Jan",2004,1,"exclosure",NA,NA,"PE"
"10",1,"Jan",2005,1,"exclosure",1,1,"PE"
"11",1,"Jan",2006,2,"exclosure",NA,NA,"PE"
"12",1,"Jan",2007,1,"exclosure",NA,NA,"PE"
"13",1,"Jan",2008,1,"exclosure",NA,NA,"PE"
"14",1,"Jan",2012,2,"exclosure",1,0.5,"PE"
"15",1,"Jan",2013,1,"exclosure",NA,NA,"PE"
"16",1,"Jan",2015,3,"exclosure",1,0.333333333333333,"PE"
"17",1,"Jan",2016,1,"exclosure",NA,NA,"PE"
"18",1,"Jan",2017,2,"exclosure",2,1,"PE"
"19",1,"Jan",2018,1,"exclosure",NA,NA,"PE"
"20",1,"Jan",2020,3,"exclosure",1,0.333333333333333,"PE"
"21",2,"Feb",1982,3,"exclosure",2,0.666666666666667,"PE"
"22",2,"Feb",1988,3,"exclosure",1,0.333333333333333,"PE"
"23",2,"Feb",1989,4,"exclosure",1,0.25,"PE"
"24",2,"Feb",1992,2,"exclosure",2,1,"PE"
"25",2,"Feb",1996,1,"exclosure",NA,NA,"PE"
"26",2,"Feb",2002,2,"exclosure",NA,NA,"PE"
"27",2,"Feb",2003,2,"exclosure",2,1,"PE"
"28",2,"Feb",2007,1,"exclosure",1,1,"PE"
"29",2,"Feb",2008,1,"exclosure",NA,NA,"PE"
"30",2,"Feb",2012,2,"exclosure",1,0.5,"PE"
"31",2,"Feb",2013,1,"exclosure",NA,NA,"PE"
"32",2,"Feb",2014,7,"exclosure",3,0.428571428571429,"PE"
"33",2,"Feb",2015,2,"exclosure",2,1,"PE"
"34",2,"Feb",2017,3,"exclosure",2,0.666666666666667,"PE"
"35",2,"Feb",2018,1,"exclosure",NA,NA,"PE"
"36",3,"Mar",1980,2,"exclosure",2,1,"PE"
"37",3,"Mar",1985,1,"exclosure",1,1,"PE"
"38",3,"Mar",1986,2,"exclosure",2,1,"PE"
"39",3,"Mar",1988,2,"exclosure",2,1,"PE"
"40",3,"Mar",1989,3,"exclosure",3,1,"PE"
"41",3,"Mar",1990,1,"exclosure",NA,NA,"PE"
"42",3,"Mar",1991,1,"exclosure",NA,NA,"PE"
"43",3,"Mar",1992,1,"exclosure",1,1,"PE"
"44",3,"Mar",1997,1,"exclosure",NA,NA,"PE"
"45",3,"Mar",2003,7,"exclosure",5,0.714285714285714,"PE"
"46",3,"Mar",2007,3,"exclosure",2,0.666666666666667,"PE"
"47",3,"Mar",2008,2,"exclosure",NA,NA,"PE"
"48",3,"Mar",2013,3,"exclosure",NA,NA,"PE"
"49",3,"Mar",2014,6,"exclosure",6,1,"PE"
"50",3,"Mar",2015,2,"exclosure",2,1,"PE"
"51",3,"Mar",2016,1,"exclosure",NA,NA,"PE"
"52",3,"Mar",2017,1,"exclosure",NA,NA,"PE"
"53",4,"Apr",1982,1,"exclosure",1,1,"PE"
"54",4,"Apr",1987,2,"exclosure",NA,NA,"PE"
"55",4,"Apr",1988,4,"exclosure",4,1,"PE"
"56",4,"Apr",1989,1,"exclosure",1,1,"PE"
"57",4,"Apr",1990,4,"exclosure",2,0.5,"PE"
"58",4,"Apr",1991,1,"exclosure",1,1,"PE"
"59",4,"Apr",1996,1,"exclosure",1,1,"PE"
"60",4,"Apr",1997,2,"exclosure",1,0.5,"PE"
"61",4,"Apr",2002,1,"exclosure",1,1,"PE"
"62",4,"Apr",2005,1,"exclosure",1,1,"PE"
"63",4,"Apr",2006,2,"exclosure",1,0.5,"PE"
"64",4,"Apr",2007,4,"exclosure",4,1,"PE"
"65",4,"Apr",2008,2,"exclosure",1,0.5,"PE"
"66",4,"Apr",2012,1,"exclosure",1,1,"PE"
"67",4,"Apr",2013,2,"exclosure",2,1,"PE"
"68",4,"Apr",2014,4,"exclosure",3,0.75,"PE"
"69",4,"Apr",2015,3,"exclosure",2,0.666666666666667,"PE"
"70",4,"Apr",2017,1,"exclosure",1,1,"PE"
"71",4,"Apr",2019,1,"exclosure",NA,NA,"PE"
"72",5,"May",1982,1,"exclosure",NA,NA,"PE"
"73",5,"May",1987,2,"exclosure",2,1,"PE"
"74",5,"May",1988,4,"exclosure",3,0.75,"PE"
"75",5,"May",1989,3,"exclosure",3,1,"PE"
"76",5,"May",1990,1,"exclosure",NA,NA,"PE"
"77",5,"May",1991,1,"exclosure",1,1,"PE"
"78",5,"May",1997,1,"exclosure",1,1,"PE"
"79",5,"May",2003,6,"exclosure",5,0.833333333333333,"PE"
"80",5,"May",2004,1,"exclosure",NA,NA,"PE"
"81",5,"May",2007,1,"exclosure",NA,NA,"PE"
"82",5,"May",2008,1,"exclosure",1,1,"PE"
"83",5,"May",2012,2,"exclosure",NA,NA,"PE"
"84",5,"May",2014,3,"exclosure",2,0.666666666666667,"PE"
"85",5,"May",2015,4,"exclosure",2,0.5,"PE"
"86",5,"May",2018,1,"exclosure",1,1,"PE"
"87",6,"Jun",1988,3,"exclosure",3,1,"PE"
"88",6,"Jun",1989,4,"exclosure",1,0.25,"PE"
"89",6,"Jun",1990,1,"exclosure",1,1,"PE"
"90",6,"Jun",1991,1,"exclosure",1,1,"PE"
"91",6,"Jun",1993,1,"exclosure",NA,NA,"PE"
"92",6,"Jun",1996,1,"exclosure",1,1,"PE"
"93",6,"Jun",1997,1,"exclosure",1,1,"PE"
"94",6,"Jun",2003,1,"exclosure",NA,NA,"PE"
"95",6,"Jun",2012,1,"exclosure",NA,NA,"PE"
"96",6,"Jun",2014,2,"exclosure",1,0.5,"PE"
"97",6,"Jun",2015,5,"exclosure",5,1,"PE"
"98",6,"Jun",2016,1,"exclosure",1,1,"PE"
"99",7,"Jul",1979,1,"exclosure",1,1,"PE"
"100",7,"Jul",1982,1,"exclosure",NA,NA,"PE"
"101",7,"Jul",1988,2,"exclosure",1,0.5,"PE"
"102",7,"Jul",1989,1,"exclosure",NA,NA,"PE"
"103",7,"Jul",1990,1,"exclosure",1,1,"PE"
"104",7,"Jul",1991,1,"exclosure",1,1,"PE"
"105",7,"Jul",2007,2,"exclosure",2,1,"PE"
"106",7,"Jul",2013,1,"exclosure",1,1,"PE"
"107",7,"Jul",2015,2,"exclosure",1,0.5,"PE"
"108",8,"Aug",1982,1,"exclosure",NA,NA,"PE"
"109",8,"Aug",1984,1,"exclosure",1,1,"PE"
"110",8,"Aug",1987,1,"exclosure",1,1,"PE"
"111",8,"Aug",1988,3,"exclosure",2,0.666666666666667,"PE"
"112",8,"Aug",1990,2,"exclosure",2,1,"PE"
"113",8,"Aug",1998,1,"exclosure",1,1,"PE"
"114",8,"Aug",2007,2,"exclosure",1,0.5,"PE"
"115",8,"Aug",2008,1,"exclosure",NA,NA,"PE"
"116",8,"Aug",2012,1,"exclosure",NA,NA,"PE"
"117",8,"Aug",2014,3,"exclosure",3,1,"PE"
"118",9,"Sept",1978,1,"exclosure",NA,NA,"PE"
"119",9,"Sept",1979,1,"exclosure",1,1,"PE"
"120",9,"Sept",1980,1,"exclosure",1,1,"PE"
"121",9,"Sept",1983,1,"exclosure",NA,NA,"PE"
"122",9,"Sept",1987,1,"exclosure",NA,NA,"PE"
"123",9,"Sept",1988,3,"exclosure",2,0.666666666666667,"PE"
"124",9,"Sept",1989,2,"exclosure",2,1,"PE"
"125",9,"Sept",1990,2,"exclosure",2,1,"PE"
