"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1982,2,"exclosure",2,1,"PM"
"2",1,"Jan",1983,1,"exclosure",NA,NA,"PM"
"3",1,"Jan",1985,1,"exclosure",NA,NA,"PM"
"4",1,"Jan",1987,2,"exclosure",1,0.5,"PM"
"5",1,"Jan",1988,2,"exclosure",NA,NA,"PM"
"6",1,"Jan",1989,2,"exclosure",NA,NA,"PM"
"7",1,"Jan",1998,2,"exclosure",NA,NA,"PM"
"8",1,"Jan",1999,3,"exclosure",NA,NA,"PM"
"9",1,"Jan",2008,3,"exclosure",NA,NA,"PM"
"10",1,"Jan",2016,1,"exclosure",NA,NA,"PM"
"11",2,"Feb",1982,2,"exclosure",2,1,"PM"
"12",2,"Feb",1987,2,"exclosure",1,0.5,"PM"
"13",2,"Feb",1988,4,"exclosure",3,0.75,"PM"
"14",2,"Feb",1989,4,"exclosure",1,0.25,"PM"
"15",2,"Feb",1996,1,"exclosure",NA,NA,"PM"
"16",2,"Feb",1997,2,"exclosure",NA,NA,"PM"
"17",2,"Feb",1998,1,"exclosure",NA,NA,"PM"
"18",2,"Feb",1999,3,"exclosure",1,0.333333333333333,"PM"
"19",2,"Feb",2002,1,"exclosure",1,1,"PM"
"20",2,"Feb",2008,4,"exclosure",NA,NA,"PM"
"21",3,"Mar",1981,1,"exclosure",NA,NA,"PM"
"22",3,"Mar",1982,4,"exclosure",1,0.25,"PM"
"23",3,"Mar",1983,1,"exclosure",1,1,"PM"
"24",3,"Mar",1985,2,"exclosure",2,1,"PM"
"25",3,"Mar",1987,2,"exclosure",1,0.5,"PM"
"26",3,"Mar",1988,3,"exclosure",1,0.333333333333333,"PM"
"27",3,"Mar",1989,3,"exclosure",2,0.666666666666667,"PM"
"28",3,"Mar",1996,2,"exclosure",NA,NA,"PM"
"29",3,"Mar",1997,2,"exclosure",1,0.5,"PM"
"30",3,"Mar",1999,1,"exclosure",NA,NA,"PM"
"31",3,"Mar",2007,2,"exclosure",1,0.5,"PM"
"32",3,"Mar",2008,5,"exclosure",NA,NA,"PM"
"33",3,"Mar",2016,1,"exclosure",NA,NA,"PM"
"34",3,"Mar",2017,2,"exclosure",2,1,"PM"
"35",4,"Apr",1979,1,"exclosure",NA,NA,"PM"
"36",4,"Apr",1981,1,"exclosure",NA,NA,"PM"
"37",4,"Apr",1982,2,"exclosure",2,1,"PM"
"38",4,"Apr",1984,1,"exclosure",1,1,"PM"
"39",4,"Apr",1985,1,"exclosure",NA,NA,"PM"
"40",4,"Apr",1987,6,"exclosure",4,0.666666666666667,"PM"
"41",4,"Apr",1988,1,"exclosure",1,1,"PM"
"42",4,"Apr",1989,1,"exclosure",1,1,"PM"
"43",4,"Apr",1996,2,"exclosure",1,0.5,"PM"
"44",4,"Apr",1997,7,"exclosure",NA,NA,"PM"
"45",4,"Apr",1999,2,"exclosure",2,1,"PM"
"46",4,"Apr",2004,1,"exclosure",NA,NA,"PM"
"47",4,"Apr",2005,1,"exclosure",1,1,"PM"
"48",4,"Apr",2008,3,"exclosure",2,0.666666666666667,"PM"
"49",5,"May",1982,1,"exclosure",1,1,"PM"
"50",5,"May",1984,2,"exclosure",1,0.5,"PM"
"51",5,"May",1987,4,"exclosure",2,0.5,"PM"
"52",5,"May",1988,1,"exclosure",1,1,"PM"
"53",5,"May",1989,1,"exclosure",1,1,"PM"
"54",5,"May",1997,4,"exclosure",1,0.25,"PM"
"55",5,"May",1998,1,"exclosure",1,1,"PM"
"56",5,"May",1999,1,"exclosure",NA,NA,"PM"
"57",5,"May",2008,1,"exclosure",NA,NA,"PM"
"58",5,"May",2015,1,"exclosure",NA,NA,"PM"
"59",5,"May",2016,1,"exclosure",NA,NA,"PM"
"60",6,"Jun",1981,1,"exclosure",1,1,"PM"
"61",6,"Jun",1982,2,"exclosure",2,1,"PM"
"62",6,"Jun",1983,2,"exclosure",1,0.5,"PM"
"63",6,"Jun",1986,1,"exclosure",1,1,"PM"
"64",6,"Jun",1987,1,"exclosure",1,1,"PM"
"65",6,"Jun",1989,2,"exclosure",1,0.5,"PM"
"66",6,"Jun",1997,7,"exclosure",3,0.428571428571429,"PM"
"67",6,"Jun",1998,3,"exclosure",2,0.666666666666667,"PM"
"68",6,"Jun",2015,2,"exclosure",1,0.5,"PM"
"69",7,"Jul",1981,1,"exclosure",1,1,"PM"
"70",7,"Jul",1982,2,"exclosure",2,1,"PM"
"71",7,"Jul",1983,2,"exclosure",2,1,"PM"
"72",7,"Jul",1986,2,"exclosure",1,0.5,"PM"
"73",7,"Jul",1987,4,"exclosure",4,1,"PM"
"74",7,"Jul",1988,1,"exclosure",1,1,"PM"
"75",7,"Jul",1997,11,"exclosure",5,0.454545454545455,"PM"
"76",7,"Jul",1998,3,"exclosure",1,0.333333333333333,"PM"
"77",7,"Jul",2015,1,"exclosure",1,1,"PM"
"78",8,"Aug",1978,1,"exclosure",NA,NA,"PM"
"79",8,"Aug",1982,1,"exclosure",1,1,"PM"
"80",8,"Aug",1983,1,"exclosure",1,1,"PM"
"81",8,"Aug",1987,2,"exclosure",2,1,"PM"
"82",8,"Aug",1988,1,"exclosure",NA,NA,"PM"
"83",8,"Aug",1998,2,"exclosure",1,0.5,"PM"
"84",9,"Sept",1982,2,"exclosure",1,0.5,"PM"
"85",9,"Sept",1983,2,"exclosure",2,1,"PM"
"86",9,"Sept",1987,1,"exclosure",1,1,"PM"
"87",9,"Sept",1988,1,"exclosure",1,1,"PM"
"88",9,"Sept",1997,4,"exclosure",1,0.25,"PM"
"89",9,"Sept",1998,1,"exclosure",1,1,"PM"
"90",9,"Sept",2007,1,"exclosure",1,1,"PM"
"91",9,"Sept",2009,1,"exclosure",NA,NA,"PM"
"92",9,"Sept",2015,2,"exclosure",NA,NA,"PM"
"93",10,"Oct",1981,1,"exclosure",NA,NA,"PM"
"94",10,"Oct",1982,3,"exclosure",2,0.666666666666667,"PM"
"95",10,"Oct",1983,2,"exclosure",1,0.5,"PM"
"96",10,"Oct",1985,1,"exclosure",1,1,"PM"
"97",10,"Oct",1987,2,"exclosure",1,0.5,"PM"
"98",10,"Oct",1988,3,"exclosure",1,0.333333333333333,"PM"
"99",10,"Oct",1997,6,"exclosure",NA,NA,"PM"
"100",10,"Oct",1998,5,"exclosure",3,0.6,"PM"
"101",10,"Oct",2007,2,"exclosure",1,0.5,"PM"
"102",10,"Oct",2015,1,"exclosure",NA,NA,"PM"
"103",11,"Nov",1981,1,"exclosure",NA,NA,"PM"
"104",11,"Nov",1982,1,"exclosure",1,1,"PM"
"105",11,"Nov",1983,1,"exclosure",NA,NA,"PM"
"106",11,"Nov",1986,1,"exclosure",NA,NA,"PM"
"107",11,"Nov",1987,2,"exclosure",2,1,"PM"
"108",11,"Nov",1996,1,"exclosure",NA,NA,"PM"
"109",11,"Nov",1997,3,"exclosure",NA,NA,"PM"
"110",11,"Nov",2007,2,"exclosure",NA,NA,"PM"
"111",11,"Nov",2015,2,"exclosure",NA,NA,"PM"
"112",12,"Dec",1981,1,"exclosure",NA,NA,"PM"
"113",12,"Dec",1983,1,"exclosure",1,1,"PM"
"114",12,"Dec",1986,2,"exclosure",2,1,"PM"
"115",12,"Dec",1988,2,"exclosure",2,1,"PM"
"116",12,"Dec",1995,1,"exclosure",NA,NA,"PM"
"117",12,"Dec",1996,1,"exclosure",1,1,"PM"
"118",12,"Dec",1997,4,"exclosure",NA,NA,"PM"
"119",12,"Dec",2005,1,"exclosure",NA,NA,"PM"
"120",12,"Dec",2007,5,"exclosure",NA,NA,"PM"
"121",1,"Jan",1983,2,"control",1,0.5,"PM"
"122",1,"Jan",1988,1,"control",NA,NA,"PM"
"123",1,"Jan",2005,1,"control",NA,NA,"PM"
"124",1,"Jan",2006,2,"control",NA,NA,"PM"
"125",1,"Jan",2017,2,"control",NA,NA,"PM"
"126",2,"Feb",1979,1,"control",NA,NA,"PM"
"127",2,"Feb",1983,1,"control",1,1,"PM"
"128",2,"Feb",1985,1,"control",NA,NA,"PM"
"129",2,"Feb",1996,2,"control",1,0.5,"PM"
"130",2,"Feb",1997,2,"control",NA,NA,"PM"
"131",2,"Feb",1999,2,"control",NA,NA,"PM"
"132",2,"Feb",2008,3,"control",NA,NA,"PM"
"133",3,"Mar",1982,1,"control",NA,NA,"PM"
"134",3,"Mar",1987,1,"control",1,1,"PM"
"135",3,"Mar",1989,1,"control",1,1,"PM"
"136",3,"Mar",1996,2,"control",NA,NA,"PM"
"137",3,"Mar",1997,1,"control",NA,NA,"PM"
"138",3,"Mar",1999,1,"control",NA,NA,"PM"
"139",3,"Mar",2008,2,"control",NA,NA,"PM"
"140",3,"Mar",2017,1,"control",NA,NA,"PM"
"141",4,"Apr",1981,1,"control",1,1,"PM"
"142",4,"Apr",1982,1,"control",1,1,"PM"
"143",4,"Apr",1983,2,"control",1,0.5,"PM"
"144",4,"Apr",1984,1,"control",1,1,"PM"
"145",4,"Apr",1985,2,"control",1,0.5,"PM"
"146",4,"Apr",1987,2,"control",2,1,"PM"
"147",4,"Apr",1996,2,"control",1,0.5,"PM"
"148",4,"Apr",1997,2,"control",NA,NA,"PM"
"149",4,"Apr",2007,1,"control",NA,NA,"PM"
"150",4,"Apr",2008,2,"control",NA,NA,"PM"
"151",5,"May",1983,1,"control",NA,NA,"PM"
"152",5,"May",1986,2,"control",1,0.5,"PM"
"153",5,"May",1987,1,"control",1,1,"PM"
"154",5,"May",1997,3,"control",1,0.333333333333333,"PM"
"155",5,"May",1999,1,"control",NA,NA,"PM"
"156",5,"May",2006,1,"control",1,1,"PM"
"157",5,"May",2007,4,"control",1,0.25,"PM"
"158",5,"May",2008,3,"control",NA,NA,"PM"
"159",6,"Jun",1987,2,"control",2,1,"PM"
"160",6,"Jun",1996,3,"control",2,0.666666666666667,"PM"
"161",6,"Jun",1997,5,"control",1,0.2,"PM"
"162",6,"Jun",2007,1,"control",NA,NA,"PM"
"163",6,"Jun",2008,4,"control",3,0.75,"PM"
"164",6,"Jun",2015,2,"control",NA,NA,"PM"
"165",7,"Jul",1987,2,"control",2,1,"PM"
"166",7,"Jul",1997,6,"control",1,0.166666666666667,"PM"
"167",7,"Jul",2015,1,"control",1,1,"PM"
"168",8,"Aug",1982,2,"control",2,1,"PM"
"169",8,"Aug",1986,1,"control",NA,NA,"PM"
"170",8,"Aug",1987,4,"control",2,0.5,"PM"
"171",8,"Aug",2007,2,"control",NA,NA,"PM"
"172",8,"Aug",2015,1,"control",1,1,"PM"
"173",9,"Sept",1982,1,"control",1,1,"PM"
"174",9,"Sept",1987,4,"control",4,1,"PM"
"175",9,"Sept",1997,2,"control",NA,NA,"PM"
"176",9,"Sept",2007,1,"control",1,1,"PM"
"177",10,"Oct",1987,2,"control",NA,NA,"PM"
"178",10,"Oct",1997,3,"control",NA,NA,"PM"
