"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1983,2,"exclosure",1,0.5,"PM"
"2",1,"Jan",1987,1,"exclosure",NA,NA,"PM"
"3",1,"Jan",1988,1,"exclosure",NA,NA,"PM"
"4",1,"Jan",1989,1,"exclosure",NA,NA,"PM"
"5",1,"Jan",1996,1,"exclosure",1,1,"PM"
"6",1,"Jan",1998,3,"exclosure",1,0.333333333333333,"PM"
"7",1,"Jan",1999,2,"exclosure",NA,NA,"PM"
"8",1,"Jan",2001,1,"exclosure",1,1,"PM"
"9",1,"Jan",2008,3,"exclosure",NA,NA,"PM"
"10",1,"Jan",2016,1,"exclosure",NA,NA,"PM"
"11",2,"Feb",1979,1,"exclosure",1,1,"PM"
"12",2,"Feb",1982,1,"exclosure",NA,NA,"PM"
"13",2,"Feb",1984,1,"exclosure",1,1,"PM"
"14",2,"Feb",1987,4,"exclosure",1,0.25,"PM"
"15",2,"Feb",1988,2,"exclosure",1,0.5,"PM"
"16",2,"Feb",1989,1,"exclosure",1,1,"PM"
"17",2,"Feb",1997,1,"exclosure",1,1,"PM"
"18",2,"Feb",1998,1,"exclosure",NA,NA,"PM"
"19",2,"Feb",1999,1,"exclosure",1,1,"PM"
"20",2,"Feb",2008,2,"exclosure",NA,NA,"PM"
"21",2,"Feb",2016,3,"exclosure",NA,NA,"PM"
"22",2,"Feb",2017,1,"exclosure",1,1,"PM"
"23",3,"Mar",1982,1,"exclosure",1,1,"PM"
"24",3,"Mar",1984,1,"exclosure",1,1,"PM"
"25",3,"Mar",1985,1,"exclosure",1,1,"PM"
"26",3,"Mar",1987,2,"exclosure",2,1,"PM"
"27",3,"Mar",1988,1,"exclosure",NA,NA,"PM"
"28",3,"Mar",1996,1,"exclosure",1,1,"PM"
"29",3,"Mar",1997,3,"exclosure",1,0.333333333333333,"PM"
"30",3,"Mar",1998,3,"exclosure",NA,NA,"PM"
"31",3,"Mar",1999,2,"exclosure",2,1,"PM"
"32",3,"Mar",2007,1,"exclosure",1,1,"PM"
"33",3,"Mar",2008,3,"exclosure",NA,NA,"PM"
"34",3,"Mar",2016,1,"exclosure",1,1,"PM"
"35",3,"Mar",2017,1,"exclosure",1,1,"PM"
"36",4,"Apr",1981,1,"exclosure",NA,NA,"PM"
"37",4,"Apr",1982,1,"exclosure",1,1,"PM"
"38",4,"Apr",1985,2,"exclosure",2,1,"PM"
"39",4,"Apr",1987,1,"exclosure",1,1,"PM"
"40",4,"Apr",1996,2,"exclosure",NA,NA,"PM"
"41",4,"Apr",1997,6,"exclosure",3,0.5,"PM"
"42",4,"Apr",1999,1,"exclosure",1,1,"PM"
"43",4,"Apr",2008,2,"exclosure",1,0.5,"PM"
"44",4,"Apr",2016,1,"exclosure",1,1,"PM"
"45",4,"Apr",2017,1,"exclosure",1,1,"PM"
"46",5,"May",1981,1,"exclosure",1,1,"PM"
"47",5,"May",1984,1,"exclosure",NA,NA,"PM"
"48",5,"May",1985,1,"exclosure",NA,NA,"PM"
"49",5,"May",1986,2,"exclosure",1,0.5,"PM"
"50",5,"May",1987,1,"exclosure",1,1,"PM"
"51",5,"May",1989,3,"exclosure",2,0.666666666666667,"PM"
"52",5,"May",1997,9,"exclosure",4,0.444444444444444,"PM"
"53",5,"May",1998,4,"exclosure",2,0.5,"PM"
"54",5,"May",2008,1,"exclosure",1,1,"PM"
"55",5,"May",2015,1,"exclosure",NA,NA,"PM"
"56",6,"Jun",1981,1,"exclosure",1,1,"PM"
