"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",2000,7,"exclosure",1,0.142857142857143,"PP"
"2",1,"Jan",2001,2,"exclosure",1,0.5,"PP"
"3",1,"Jan",2007,5,"exclosure",4,0.8,"PP"
"4",1,"Jan",2012,2,"exclosure",1,0.5,"PP"
"5",2,"Feb",1996,5,"exclosure",1,0.2,"PP"
"6",2,"Feb",2000,6,"exclosure",5,0.833333333333333,"PP"
"7",2,"Feb",2007,13,"exclosure",11,0.846153846153846,"PP"
"8",2,"Feb",2012,7,"exclosure",6,0.857142857142857,"PP"
"9",2,"Feb",2014,3,"exclosure",1,0.333333333333333,"PP"
"10",2,"Feb",2015,12,"exclosure",11,0.916666666666667,"PP"
"11",2,"Feb",2018,2,"exclosure",1,0.5,"PP"
"12",3,"Mar",1988,1,"exclosure",1,1,"PP"
"13",3,"Mar",1992,2,"exclosure",1,0.5,"PP"
"14",3,"Mar",1993,3,"exclosure",2,0.666666666666667,"PP"
"15",3,"Mar",1995,1,"exclosure",1,1,"PP"
"16",3,"Mar",1996,9,"exclosure",5,0.555555555555556,"PP"
"17",3,"Mar",1997,8,"exclosure",7,0.875,"PP"
"18",3,"Mar",2000,9,"exclosure",7,0.777777777777778,"PP"
"19",3,"Mar",2001,5,"exclosure",4,0.8,"PP"
"20",3,"Mar",2002,2,"exclosure",2,1,"PP"
"21",3,"Mar",2003,12,"exclosure",12,1,"PP"
"22",3,"Mar",2004,2,"exclosure",1,0.5,"PP"
"23",3,"Mar",2005,12,"exclosure",10,0.833333333333333,"PP"
"24",3,"Mar",2006,12,"exclosure",8,0.666666666666667,"PP"
"25",3,"Mar",2007,23,"exclosure",23,1,"PP"
"26",3,"Mar",2008,4,"exclosure",1,0.25,"PP"
"27",3,"Mar",2009,4,"exclosure",3,0.75,"PP"
"28",3,"Mar",2010,2,"exclosure",1,0.5,"PP"
"29",3,"Mar",2011,7,"exclosure",2,0.285714285714286,"PP"
"30",3,"Mar",2012,19,"exclosure",11,0.578947368421053,"PP"
"31",3,"Mar",2013,7,"exclosure",6,0.857142857142857,"PP"
"32",3,"Mar",2014,38,"exclosure",37,0.973684210526316,"PP"
"33",3,"Mar",2015,27,"exclosure",25,0.925925925925926,"PP"
"34",3,"Mar",2016,10,"exclosure",4,0.4,"PP"
"35",3,"Mar",2017,17,"exclosure",16,0.941176470588235,"PP"
"36",3,"Mar",2018,9,"exclosure",5,0.555555555555556,"PP"
"37",3,"Mar",2019,5,"exclosure",1,0.2,"PP"
"38",4,"Apr",1984,1,"exclosure",1,1,"PP"
"39",4,"Apr",1985,1,"exclosure",1,1,"PP"
"40",4,"Apr",1986,2,"exclosure",2,1,"PP"
"41",4,"Apr",1987,1,"exclosure",1,1,"PP"
"42",4,"Apr",1988,2,"exclosure",2,1,"PP"
"43",4,"Apr",1989,4,"exclosure",2,0.5,"PP"
"44",4,"Apr",1990,1,"exclosure",1,1,"PP"
"45",4,"Apr",1991,1,"exclosure",1,1,"PP"
"46",4,"Apr",1993,6,"exclosure",5,0.833333333333333,"PP"
"47",4,"Apr",1994,3,"exclosure",3,1,"PP"
"48",4,"Apr",1995,5,"exclosure",4,0.8,"PP"
"49",4,"Apr",1996,16,"exclosure",9,0.5625,"PP"
"50",4,"Apr",1997,18,"exclosure",14,0.777777777777778,"PP"
"51",4,"Apr",1999,2,"exclosure",2,1,"PP"
"52",4,"Apr",2000,6,"exclosure",6,1,"PP"
"53",4,"Apr",2001,6,"exclosure",6,1,"PP"
"54",4,"Apr",2002,7,"exclosure",7,1,"PP"
"55",4,"Apr",2004,1,"exclosure",1,1,"PP"
"56",4,"Apr",2005,5,"exclosure",4,0.8,"PP"
"57",4,"Apr",2006,14,"exclosure",14,1,"PP"
"58",4,"Apr",2007,21,"exclosure",20,0.952380952380952,"PP"
"59",4,"Apr",2008,10,"exclosure",10,1,"PP"
"60",4,"Apr",2009,17,"exclosure",17,1,"PP"
"61",4,"Apr",2010,3,"exclosure",3,1,"PP"
"62",4,"Apr",2011,15,"exclosure",11,0.733333333333333,"PP"
"63",4,"Apr",2012,41,"exclosure",35,0.853658536585366,"PP"
"64",4,"Apr",2013,23,"exclosure",21,0.91304347826087,"PP"
"65",4,"Apr",2014,35,"exclosure",33,0.942857142857143,"PP"
