"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"1",170,"4","Apr",5,1992,3,12,"exclosure","SO","M",NA,NA,NA,NA,NA,"S",26,68,"2158"
"2",121,"4","Apr",18,1988,15,15,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",27,72,"7271"
"3",131,"2","Feb",5,1989,11,51,"control","SH","M",NA,NA,NA,NA,NA,"M",28,78,"8803"
"4",136,"7","Jul",3,1989,21,31,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",NA,61,"8773"
"5",145,"3","Mar",30,1990,3,12,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",30,82,"1113"
"6",266,"7","Jul",2,2000,15,21,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",25,51,"670"
"7",346,"3","Mar",17,2007,22,76,"control","SH","M",NA,NA,NA,NA,NA,"S",29,88,NA
"8",349,"6","Jun",17,2007,13,46,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",30,74,"470B2C"
"9",349,"6","Jun",17,2007,15,27,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",31,102,"7C2B5B"
"10",350,"7","Jul",15,2007,13,12,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",30,92,"431D42"
"11",439,"6","Jun",14,2015,3,17,"exclosure","SH","M",NA,NA,NA,NA,NA,"S",32,129,"B2CE4F"
"12",300,"5","May",28,2003,21,12,"exclosure","SF","M",NA,NA,NA,NA,NA,"S",26,97,"100449"
"13",363,"7","Jul",26,2008,17,47,"control","SF","M",NA,NA,NA,NA,NA,"M",26,100,"065F33"
"14",436,"3","Mar",26,2015,17,66,"control","RO","M",NA,NA,NA,NA,NA,"S",17,11,"B2B422"
"15",438,"5","May",16,2015,20,74,"exclosure","RO","M",NA,NA,NA,NA,NA,"S",15,9,"A60C85"
"16",31,"2","Feb",25,1980,3,34,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,11,"6010"
"17",32,"3","Mar",22,1980,3,21,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",NA,10,"6000"
"18",46,"6","Jun",5,1981,19,57,"exclosure","RM","M",NA,NA,NA,NA,NA,"R",16,12,"4"
"19",50,"10","Oct",1,1981,4,42,"control","RM","M",NA,NA,NA,NA,NA,"S",19,14,"5001"
"20",55,"2","Feb",22,1982,17,37,"control","RM","M",NA,NA,NA,NA,NA,"S",17,9,"7014"
"21",55,"2","Feb",22,1982,17,67,"control","RM","M",NA,NA,NA,NA,NA,"S",17,11,"5001"
"22",55,"2","Feb",23,1982,4,25,"control","RM","M",NA,NA,NA,NA,NA,"S",16,9,"5002"
"23",55,"2","Feb",23,1982,3,47,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",18,10,"2"
"24",55,"2","Feb",23,1982,15,61,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",16,9,"2"
"25",55,"2","Feb",24,1982,1,11,"control","RM","M",NA,NA,NA,NA,NA,"S",16,8,"5011"
"26",55,"2","Feb",24,1982,9,72,"control","RM","M",NA,NA,NA,NA,NA,"S",17,10,"102"
"27",56,"3","Mar",29,1982,21,12,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,11,"6004"
"28",56,"3","Mar",29,1982,21,24,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",18,11,"111"
"29",56,"3","Mar",29,1982,18,37,"control","RM","M",NA,NA,NA,NA,NA,"S",17,11,"7013"
