"","month","year","treatment","species","reproductive","abundance","proportion"
"1","7",2012,"control","PP",1,56,0.0178571428571429
"2","8",2014,"control","PP",1,51,0.0196078431372549
"3","7",2007,"control","PB",1,50,0.02
"4","7",2007,"exclosure","PB",1,46,0.0217391304347826
"5","8",2015,"control","PP",1,44,0.0227272727272727
"6","7",2007,"control","PP",1,40,0.025
"7","7",2015,"control","PP",1,40,0.025
"8","5",2007,"exclosure","PB",1,38,0.0263157894736842
"9","8",2012,"control","PP",1,36,0.0277777777777778
"10","7",1997,"exclosure","PB",1,33,0.0303030303030303
"11","9",2005,"control","PB",1,33,0.0303030303030303
"12","9",2007,"control","PB",1,32,0.03125
"13","1",2017,"control","DM",2,56,0.0357142857142857
"14","9",2007,"exclosure","PB",1,28,0.0357142857142857
"15","11",2013,"control","DM",1,27,0.037037037037037
"16","8",2007,"control","PB",1,27,0.037037037037037
"17","9",2015,"control","PP",1,27,0.037037037037037
"18","11",2015,"control","DM",1,25,0.04
"19","10",1984,"control","DM",1,22,0.0454545454545455
"20","10",2006,"exclosure","PP",1,22,0.0454545454545455
"21","5",1982,"control","DS",1,22,0.0454545454545455
"22","7",1979,"control","DS",1,22,0.0454545454545455
"23","8",2007,"exclosure","PB",1,22,0.0454545454545455
"24","11",2006,"control","PP",2,43,0.0465116279069767
"25","4",2008,"control","DO",1,21,0.0476190476190476
"26","3",1998,"control","DM",2,40,0.05
"27","6",2005,"control","PP",1,20,0.05
"28","6",2007,"exclosure","PB",2,40,0.05
"29","7",2005,"control","PP",1,20,0.05
"30","9",2017,"exclosure","PP",1,20,0.05
"31","11",2001,"exclosure","PB",1,19,0.0526315789473684
"32","7",2007,"exclosure","PP",1,19,0.0526315789473684
"33","7",2013,"exclosure","PP",1,19,0.0526315789473684
"34","6",2007,"control","PB",2,37,0.0540540540540541
"35","1",2006,"exclosure","PB",2,36,0.0555555555555556
"36","10",2001,"exclosure","PB",1,18,0.0555555555555556
"37","2",1988,"control","DM",1,18,0.0555555555555556
"38","7",2000,"control","PB",1,18,0.0555555555555556
