"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1978,1,"exclosure",1,1,"PF"
"2",1,"Jan",1980,2,"exclosure",2,1,"PF"
"3",1,"Jan",1981,2,"exclosure",1,0.5,"PF"
"4",1,"Jan",1982,4,"exclosure",3,0.75,"PF"
"5",1,"Jan",1983,2,"exclosure",NA,NA,"PF"
"6",1,"Jan",1990,5,"exclosure",5,1,"PF"
"7",1,"Jan",1991,3,"exclosure",1,0.333333333333333,"PF"
"8",1,"Jan",1993,1,"exclosure",NA,NA,"PF"
"9",1,"Jan",1995,1,"exclosure",NA,NA,"PF"
"10",1,"Jan",1996,7,"exclosure",2,0.285714285714286,"PF"
"11",1,"Jan",2008,1,"exclosure",NA,NA,"PF"
"12",1,"Jan",2012,3,"exclosure",NA,NA,"PF"
"13",1,"Jan",2013,1,"exclosure",NA,NA,"PF"
"14",1,"Jan",2015,3,"exclosure",1,0.333333333333333,"PF"
"15",2,"Feb",1980,4,"exclosure",3,0.75,"PF"
"16",2,"Feb",1982,3,"exclosure",3,1,"PF"
"17",2,"Feb",1983,3,"exclosure",NA,NA,"PF"
"18",2,"Feb",1985,1,"exclosure",NA,NA,"PF"
"19",2,"Feb",1990,3,"exclosure",3,1,"PF"
"20",2,"Feb",1991,2,"exclosure",NA,NA,"PF"
"21",2,"Feb",1992,1,"exclosure",1,1,"PF"
"22",2,"Feb",1993,1,"exclosure",NA,NA,"PF"
"23",2,"Feb",1994,2,"exclosure",2,1,"PF"
"24",2,"Feb",1995,1,"exclosure",1,1,"PF"
"25",2,"Feb",1996,12,"exclosure",6,0.5,"PF"
"26",2,"Feb",1997,9,"exclosure",4,0.444444444444444,"PF"
"27",2,"Feb",2002,1,"exclosure",1,1,"PF"
"28",2,"Feb",2009,1,"exclosure",NA,NA,"PF"
"29",2,"Feb",2012,4,"exclosure",1,0.25,"PF"
"30",2,"Feb",2013,1,"exclosure",NA,NA,"PF"
"31",2,"Feb",2015,3,"exclosure",3,1,"PF"
"32",3,"Mar",1978,1,"exclosure",1,1,"PF"
"33",3,"Mar",1980,8,"exclosure",7,0.875,"PF"
"34",3,"Mar",1981,1,"exclosure",1,1,"PF"
"35",3,"Mar",1982,4,"exclosure",2,0.5,"PF"
"36",3,"Mar",1983,7,"exclosure",3,0.428571428571429,"PF"
"37",3,"Mar",1990,2,"exclosure",2,1,"PF"
"38",3,"Mar",1991,2,"exclosure",2,1,"PF"
"39",3,"Mar",1992,1,"exclosure",1,1,"PF"
"40",3,"Mar",1993,3,"exclosure",2,0.666666666666667,"PF"
"41",3,"Mar",1994,1,"exclosure",1,1,"PF"
"42",3,"Mar",1996,10,"exclosure",7,0.7,"PF"
