"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1980,3,"exclosure",2,0.666666666666667,"PF"
"2",1,"Jan",1981,1,"exclosure",NA,NA,"PF"
"3",1,"Jan",1982,2,"exclosure",NA,NA,"PF"
"4",1,"Jan",1990,3,"exclosure",2,0.666666666666667,"PF"
"5",1,"Jan",1991,1,"exclosure",NA,NA,"PF"
"6",1,"Jan",1992,1,"exclosure",NA,NA,"PF"
"7",1,"Jan",1993,2,"exclosure",2,1,"PF"
"8",1,"Jan",1995,4,"exclosure",1,0.25,"PF"
"9",1,"Jan",1996,9,"exclosure",5,0.555555555555556,"PF"
"10",1,"Jan",2005,1,"exclosure",NA,NA,"PF"
"11",1,"Jan",2012,1,"exclosure",NA,NA,"PF"
"12",2,"Feb",1980,1,"exclosure",NA,NA,"PF"
"13",2,"Feb",1981,1,"exclosure",1,1,"PF"
"14",2,"Feb",1982,5,"exclosure",3,0.6,"PF"
"15",2,"Feb",1990,2,"exclosure",2,1,"PF"
"16",2,"Feb",1992,1,"exclosure",NA,NA,"PF"
"17",2,"Feb",1994,5,"exclosure",1,0.2,"PF"
"18",2,"Feb",1995,3,"exclosure",NA,NA,"PF"
"19",2,"Feb",1996,9,"exclosure",7,0.777777777777778,"PF"
"20",2,"Feb",1997,6,"exclosure",3,0.5,"PF"
"21",2,"Feb",2002,1,"exclosure",NA,NA,"PF"
"22",2,"Feb",2003,3,"exclosure",2,0.666666666666667,"PF"
"23",2,"Feb",2007,1,"exclosure",NA,NA,"PF"
"24",2,"Feb",2009,1,"exclosure",NA,NA,"PF"
"25",2,"Feb",2014,1,"exclosure",NA,NA,"PF"
"26",3,"Mar",1978,1,"exclosure",NA,NA,"PF"
"27",3,"Mar",1980,3,"exclosure",1,0.333333333333333,"PF"
"28",3,"Mar",1981,3,"exclosure",2,0.666666666666667,"PF"
"29",3,"Mar",1982,5,"exclosure",2,0.4,"PF"
"30",3,"Mar",1983,2,"exclosure",NA,NA,"PF"
"31",3,"Mar",1990,4,"exclosure",2,0.5,"PF"
"32",3,"Mar",1992,3,"exclosure",1,0.333333333333333,"PF"
"33",3,"Mar",1993,2,"exclosure",2,1,"PF"
"34",3,"Mar",1994,1,"exclosure",1,1,"PF"
"35",3,"Mar",1995,4,"exclosure",3,0.75,"PF"
"36",3,"Mar",1996,9,"exclosure",6,0.666666666666667,"PF"
"37",3,"Mar",1997,7,"exclosure",5,0.714285714285714,"PF"
"38",3,"Mar",2003,4,"exclosure",1,0.25,"PF"
"39",3,"Mar",2005,1,"exclosure",NA,NA,"PF"
"40",3,"Mar",2007,1,"exclosure",NA,NA,"PF"
"41",3,"Mar",2009,1,"exclosure",NA,NA,"PF"
"42",3,"Mar",2012,1,"exclosure",1,1,"PF"
"43",3,"Mar",2013,2,"exclosure",1,0.5,"PF"
"44",3,"Mar",2014,1,"exclosure",1,1,"PF"
"45",3,"Mar",2015,1,"exclosure",1,1,"PF"
"46",4,"Apr",1980,1,"exclosure",1,1,"PF"
"47",4,"Apr",1981,2,"exclosure",NA,NA,"PF"
"48",4,"Apr",1982,2,"exclosure",NA,NA,"PF"
"49",4,"Apr",1983,2,"exclosure",1,0.5,"PF"
"50",4,"Apr",1984,1,"exclosure",NA,NA,"PF"
"51",4,"Apr",1990,1,"exclosure",1,1,"PF"
"52",4,"Apr",1992,2,"exclosure",1,0.5,"PF"
"53",4,"Apr",1993,2,"exclosure",1,0.5,"PF"
"54",4,"Apr",1994,2,"exclosure",2,1,"PF"
"55",4,"Apr",1995,5,"exclosure",4,0.8,"PF"
"56",4,"Apr",1996,13,"exclosure",10,0.769230769230769,"PF"
"57",4,"Apr",1997,8,"exclosure",7,0.875,"PF"
"58",4,"Apr",2001,1,"exclosure",1,1,"PF"
"59",4,"Apr",2006,1,"exclosure",NA,NA,"PF"
"60",4,"Apr",2008,2,"exclosure",NA,NA,"PF"
"61",4,"Apr",2009,2,"exclosure",1,0.5,"PF"
"62",4,"Apr",2012,1,"exclosure",1,1,"PF"
"63",4,"Apr",2013,1,"exclosure",1,1,"PF"
"64",4,"Apr",2015,2,"exclosure",2,1,"PF"
"65",4,"Apr",2016,2,"exclosure",NA,NA,"PF"
"66",4,"Apr",2017,1,"exclosure",1,1,"PF"
"67",5,"May",1979,1,"exclosure",NA,NA,"PF"
"68",5,"May",1980,2,"exclosure",1,0.5,"PF"
"69",5,"May",1982,2,"exclosure",1,0.5,"PF"
"70",5,"May",1983,3,"exclosure",3,1,"PF"
"71",5,"May",1990,3,"exclosure",3,1,"PF"
"72",5,"May",1991,1,"exclosure",NA,NA,"PF"
"73",5,"May",1992,2,"exclosure",2,1,"PF"
"74",5,"May",1993,1,"exclosure",1,1,"PF"
"75",5,"May",1994,2,"exclosure",1,0.5,"PF"
"76",5,"May",1996,13,"exclosure",12,0.923076923076923,"PF"
"77",5,"May",1997,7,"exclosure",3,0.428571428571429,"PF"
"78",5,"May",1998,3,"exclosure",3,1,"PF"
"79",5,"May",2001,1,"exclosure",1,1,"PF"
"80",5,"May",2002,1,"exclosure",1,1,"PF"
"81",5,"May",2003,4,"exclosure",4,1,"PF"
"82",5,"May",2004,1,"exclosure",NA,NA,"PF"
"83",5,"May",2008,1,"exclosure",NA,NA,"PF"
"84",5,"May",2009,2,"exclosure",2,1,"PF"
"85",5,"May",2013,2,"exclosure",2,1,"PF"
"86",5,"May",2014,1,"exclosure",NA,NA,"PF"
"87",5,"May",2015,1,"exclosure",1,1,"PF"
"88",5,"May",2017,1,"exclosure",NA,NA,"PF"
"89",6,"Jun",1982,2,"exclosure",NA,NA,"PF"
"90",6,"Jun",1983,2,"exclosure",1,0.5,"PF"
"91",6,"Jun",1990,1,"exclosure",NA,NA,"PF"
"92",6,"Jun",1993,1,"exclosure",NA,NA,"PF"
"93",6,"Jun",1994,1,"exclosure",1,1,"PF"
"94",6,"Jun",1995,5,"exclosure",3,0.6,"PF"
"95",6,"Jun",1996,10,"exclosure",7,0.7,"PF"
"96",6,"Jun",1997,4,"exclosure",2,0.5,"PF"
"97",6,"Jun",1998,5,"exclosure",4,0.8,"PF"
"98",6,"Jun",2001,2,"exclosure",1,0.5,"PF"
"99",6,"Jun",2003,2,"exclosure",2,1,"PF"
"100",6,"Jun",2004,1,"exclosure",1,1,"PF"
"101",6,"Jun",2006,1,"exclosure",1,1,"PF"
"102",6,"Jun",2007,2,"exclosure",1,0.5,"PF"
"103",6,"Jun",2008,12,"exclosure",NA,NA,"PF"
"104",6,"Jun",2009,3,"exclosure",1,0.333333333333333,"PF"
"105",6,"Jun",2015,4,"exclosure",4,1,"PF"
"106",6,"Jun",2016,1,"exclosure",NA,NA,"PF"
"107",6,"Jun",2017,1,"exclosure",NA,NA,"PF"
"108",7,"Jul",1979,1,"exclosure",1,1,"PF"
"109",7,"Jul",1980,1,"exclosure",1,1,"PF"
"110",7,"Jul",1982,5,"exclosure",NA,NA,"PF"
"111",7,"Jul",1983,2,"exclosure",1,0.5,"PF"
"112",7,"Jul",1986,1,"exclosure",NA,NA,"PF"
"113",7,"Jul",1991,1,"exclosure",NA,NA,"PF"
"114",7,"Jul",1992,3,"exclosure",2,0.666666666666667,"PF"
"115",7,"Jul",1993,3,"exclosure",2,0.666666666666667,"PF"
"116",7,"Jul",1994,2,"exclosure",1,0.5,"PF"
"117",7,"Jul",1995,3,"exclosure",3,1,"PF"
"118",7,"Jul",1996,5,"exclosure",4,0.8,"PF"
"119",7,"Jul",1997,15,"exclosure",6,0.4,"PF"
"120",7,"Jul",1998,5,"exclosure",5,1,"PF"
"121",7,"Jul",2003,1,"exclosure",NA,NA,"PF"
"122",7,"Jul",2004,1,"exclosure",1,1,"PF"
"123",7,"Jul",2007,3,"exclosure",2,0.666666666666667,"PF"
"124",7,"Jul",2008,1,"exclosure",NA,NA,"PF"
"125",7,"Jul",2010,1,"exclosure",NA,NA,"PF"
"126",7,"Jul",2012,1,"exclosure",NA,NA,"PF"
"127",7,"Jul",2013,2,"exclosure",NA,NA,"PF"
"128",7,"Jul",2015,4,"exclosure",4,1,"PF"
"129",7,"Jul",2016,2,"exclosure",1,0.5,"PF"
"130",8,"Aug",1980,2,"exclosure",1,0.5,"PF"
"131",8,"Aug",1982,2,"exclosure",NA,NA,"PF"
"132",8,"Aug",1983,1,"exclosure",NA,NA,"PF"
"133",8,"Aug",1990,2,"exclosure",1,0.5,"PF"
"134",8,"Aug",1991,1,"exclosure",1,1,"PF"
"135",8,"Aug",1992,4,"exclosure",2,0.5,"PF"
"136",8,"Aug",1993,1,"exclosure",NA,NA,"PF"
"137",8,"Aug",1994,3,"exclosure",2,0.666666666666667,"PF"
"138",8,"Aug",1995,2,"exclosure",2,1,"PF"
"139",8,"Aug",1996,6,"exclosure",6,1,"PF"
"140",8,"Aug",1998,2,"exclosure",2,1,"PF"
"141",8,"Aug",2001,2,"exclosure",1,0.5,"PF"
"142",8,"Aug",2003,1,"exclosure",NA,NA,"PF"
"143",8,"Aug",2007,1,"exclosure",NA,NA,"PF"
"144",8,"Aug",2008,1,"exclosure",1,1,"PF"
"145",8,"Aug",2012,1,"exclosure",NA,NA,"PF"
"146",8,"Aug",2015,1,"exclosure",NA,NA,"PF"
"147",8,"Aug",2016,2,"exclosure",1,0.5,"PF"
"148",9,"Sept",1978,2,"exclosure",NA,NA,"PF"
"149",9,"Sept",1979,1,"exclosure",1,1,"PF"
"150",9,"Sept",1980,3,"exclosure",2,0.666666666666667,"PF"
"151",9,"Sept",1982,1,"exclosure",NA,NA,"PF"
"152",9,"Sept",1986,1,"exclosure",NA,NA,"PF"
"153",9,"Sept",1989,1,"exclosure",1,1,"PF"
"154",9,"Sept",1990,1,"exclosure",NA,NA,"PF"
"155",9,"Sept",1991,4,"exclosure",NA,NA,"PF"
"156",9,"Sept",1992,3,"exclosure",1,0.333333333333333,"PF"
"157",9,"Sept",1993,6,"exclosure",2,0.333333333333333,"PF"
"158",9,"Sept",1994,4,"exclosure",3,0.75,"PF"
"159",9,"Sept",1995,9,"exclosure",7,0.777777777777778,"PF"
"160",9,"Sept",1996,8,"exclosure",3,0.375,"PF"
"161",9,"Sept",1997,4,"exclosure",NA,NA,"PF"
"162",9,"Sept",1998,1,"exclosure",NA,NA,"PF"
"163",9,"Sept",2003,1,"exclosure",NA,NA,"PF"
"164",9,"Sept",2007,4,"exclosure",NA,NA,"PF"
"165",9,"Sept",2010,2,"exclosure",2,1,"PF"
"166",9,"Sept",2012,1,"exclosure",NA,NA,"PF"
"167",10,"Oct",1978,3,"exclosure",NA,NA,"PF"
"168",10,"Oct",1982,4,"exclosure",NA,NA,"PF"
"169",10,"Oct",1983,1,"exclosure",NA,NA,"PF"
"170",10,"Oct",1990,2,"exclosure",NA,NA,"PF"
"171",10,"Oct",1991,9,"exclosure",3,0.333333333333333,"PF"
"172",10,"Oct",1992,7,"exclosure",2,0.285714285714286,"PF"
"173",10,"Oct",1993,3,"exclosure",1,0.333333333333333,"PF"
"174",10,"Oct",1994,5,"exclosure",NA,NA,"PF"
"175",10,"Oct",1995,9,"exclosure",9,1,"PF"
"176",10,"Oct",1996,9,"exclosure",6,0.666666666666667,"PF"
"177",10,"Oct",1997,3,"exclosure",NA,NA,"PF"
"178",10,"Oct",2001,2,"exclosure",1,0.5,"PF"
"179",10,"Oct",2007,3,"exclosure",NA,NA,"PF"
"180",10,"Oct",2012,1,"exclosure",NA,NA,"PF"
"181",10,"Oct",2015,1,"exclosure",NA,NA,"PF"
"182",11,"Nov",1978,1,"exclosure",NA,NA,"PF"
"183",11,"Nov",1979,1,"exclosure",NA,NA,"PF"
"184",11,"Nov",1980,1,"exclosure",NA,NA,"PF"
"185",11,"Nov",1981,1,"exclosure",NA,NA,"PF"
"186",11,"Nov",1982,3,"exclosure",NA,NA,"PF"
"187",11,"Nov",1983,1,"exclosure",NA,NA,"PF"
"188",11,"Nov",1989,2,"exclosure",NA,NA,"PF"
"189",11,"Nov",1990,2,"exclosure",1,0.5,"PF"
"190",11,"Nov",1991,10,"exclosure",1,0.1,"PF"
"191",11,"Nov",1993,5,"exclosure",NA,NA,"PF"
"192",11,"Nov",1994,8,"exclosure",NA,NA,"PF"
"193",11,"Nov",1996,6,"exclosure",1,0.166666666666667,"PF"
"194",11,"Nov",2006,1,"exclosure",NA,NA,"PF"
"195",11,"Nov",2007,5,"exclosure",NA,NA,"PF"
"196",11,"Nov",2008,1,"exclosure",NA,NA,"PF"
"197",11,"Nov",2015,3,"exclosure",1,0.333333333333333,"PF"
"198",12,"Dec",1981,2,"exclosure",NA,NA,"PF"
"199",12,"Dec",1983,1,"exclosure",NA,NA,"PF"
"200",12,"Dec",1989,1,"exclosure",NA,NA,"PF"
"201",12,"Dec",1990,2,"exclosure",1,0.5,"PF"
"202",12,"Dec",1991,5,"exclosure",NA,NA,"PF"
"203",12,"Dec",1993,4,"exclosure",NA,NA,"PF"
"204",12,"Dec",1994,7,"exclosure",NA,NA,"PF"
"205",12,"Dec",1995,14,"exclosure",2,0.142857142857143,"PF"
"206",12,"Dec",1996,5,"exclosure",1,0.2,"PF"
"207",12,"Dec",2002,1,"exclosure",NA,NA,"PF"
"208",12,"Dec",2008,1,"exclosure",NA,NA,"PF"
"209",1,"Jan",1978,2,"control",NA,NA,"PF"
"210",1,"Jan",1980,2,"control",1,0.5,"PF"
"211",1,"Jan",1981,1,"control",1,1,"PF"
"212",1,"Jan",1982,1,"control",1,1,"PF"
"213",1,"Jan",1983,4,"control",NA,NA,"PF"
"214",1,"Jan",1996,2,"control",1,0.5,"PF"
"215",1,"Jan",2012,2,"control",NA,NA,"PF"
"216",2,"Feb",1978,1,"control",NA,NA,"PF"
"217",2,"Feb",1980,2,"control",2,1,"PF"
"218",2,"Feb",1982,1,"control",1,1,"PF"
"219",2,"Feb",1993,1,"control",NA,NA,"PF"
"220",2,"Feb",1996,6,"control",2,0.333333333333333,"PF"
"221",2,"Feb",1997,1,"control",NA,NA,"PF"
"222",2,"Feb",2003,1,"control",1,1,"PF"
"223",2,"Feb",2012,1,"control",NA,NA,"PF"
"224",3,"Mar",1978,2,"control",1,0.5,"PF"
"225",3,"Mar",1979,2,"control",2,1,"PF"
"226",3,"Mar",1980,5,"control",1,0.2,"PF"
"227",3,"Mar",1981,1,"control",1,1,"PF"
"228",3,"Mar",1982,1,"control",NA,NA,"PF"
"229",3,"Mar",1983,3,"control",1,0.333333333333333,"PF"
"230",3,"Mar",1993,2,"control",1,0.5,"PF"
"231",3,"Mar",1995,1,"control",NA,NA,"PF"
"232",3,"Mar",1996,1,"control",1,1,"PF"
"233",3,"Mar",1997,1,"control",NA,NA,"PF"
"234",3,"Mar",2002,1,"control",NA,NA,"PF"
"235",3,"Mar",2003,1,"control",1,1,"PF"
"236",3,"Mar",2006,2,"control",NA,NA,"PF"
"237",3,"Mar",2007,1,"control",NA,NA,"PF"
"238",3,"Mar",2009,1,"control",1,1,"PF"
"239",3,"Mar",2012,1,"control",1,1,"PF"
"240",3,"Mar",2013,1,"control",1,1,"PF"
"241",4,"Apr",1978,1,"control",NA,NA,"PF"
"242",4,"Apr",1980,1,"control",1,1,"PF"
"243",4,"Apr",1981,1,"control",NA,NA,"PF"
"244",4,"Apr",1983,4,"control",1,0.25,"PF"
"245",4,"Apr",1988,1,"control",NA,NA,"PF"
"246",4,"Apr",1992,1,"control",1,1,"PF"
"247",4,"Apr",1994,1,"control",NA,NA,"PF"
"248",4,"Apr",1995,1,"control",NA,NA,"PF"
"249",4,"Apr",1996,8,"control",5,0.625,"PF"
"250",4,"Apr",1997,2,"control",1,0.5,"PF"
"251",4,"Apr",2001,2,"control",1,0.5,"PF"
"252",4,"Apr",2002,1,"control",1,1,"PF"
"253",4,"Apr",2008,1,"control",NA,NA,"PF"
"254",4,"Apr",2009,1,"control",NA,NA,"PF"
"255",4,"Apr",2011,1,"control",1,1,"PF"
"256",4,"Apr",2015,1,"control",1,1,"PF"
"257",5,"May",1978,1,"control",1,1,"PF"
"258",5,"May",1980,1,"control",1,1,"PF"
"259",5,"May",1981,1,"control",1,1,"PF"
"260",5,"May",1983,1,"control",1,1,"PF"
"261",5,"May",1996,3,"control",2,0.666666666666667,"PF"
"262",5,"May",1998,1,"control",1,1,"PF"
"263",5,"May",2003,3,"control",2,0.666666666666667,"PF"
"264",5,"May",2006,1,"control",1,1,"PF"
"265",5,"May",2007,2,"control",NA,NA,"PF"
"266",5,"May",2008,1,"control",NA,NA,"PF"
"267",5,"May",2009,2,"control",1,0.5,"PF"
"268",5,"May",2011,2,"control",2,1,"PF"
"269",5,"May",2012,2,"control",2,1,"PF"
"270",6,"Jun",1978,1,"control",NA,NA,"PF"
"271",6,"Jun",1981,1,"control",1,1,"PF"
"272",6,"Jun",1982,1,"control",1,1,"PF"
"273",6,"Jun",1983,1,"control",NA,NA,"PF"
"274",6,"Jun",1994,1,"control",NA,NA,"PF"
"275",6,"Jun",1995,1,"control",1,1,"PF"
"276",6,"Jun",1996,4,"control",4,1,"PF"
"277",6,"Jun",1997,2,"control",1,0.5,"PF"
"278",6,"Jun",2003,1,"control",1,1,"PF"
"279",6,"Jun",2007,1,"control",NA,NA,"PF"
"280",6,"Jun",2008,8,"control",NA,NA,"PF"
"281",6,"Jun",2012,1,"control",NA,NA,"PF"
"282",6,"Jun",2015,2,"control",2,1,"PF"
"283",7,"Jul",1977,1,"control",NA,NA,"PF"
"284",7,"Jul",1979,4,"control",1,0.25,"PF"
"285",7,"Jul",1980,1,"control",NA,NA,"PF"
"286",7,"Jul",1981,3,"control",NA,NA,"PF"
"287",7,"Jul",1982,2,"control",NA,NA,"PF"
"288",7,"Jul",1983,1,"control",NA,NA,"PF"
"289",7,"Jul",1993,2,"control",1,0.5,"PF"
"290",7,"Jul",1995,2,"control",2,1,"PF"
"291",7,"Jul",1996,5,"control",1,0.2,"PF"
"292",7,"Jul",1997,8,"control",1,0.125,"PF"
"293",7,"Jul",2001,2,"control",2,1,"PF"
"294",7,"Jul",2002,1,"control",1,1,"PF"
"295",7,"Jul",2003,1,"control",NA,NA,"PF"
"296",7,"Jul",2006,1,"control",1,1,"PF"
"297",7,"Jul",2007,2,"control",NA,NA,"PF"
"298",7,"Jul",2013,1,"control",NA,NA,"PF"
"299",7,"Jul",2015,2,"control",2,1,"PF"
"300",8,"Aug",1977,4,"control",1,0.25,"PF"
"301",8,"Aug",1978,1,"control",NA,NA,"PF"
"302",8,"Aug",1980,1,"control",1,1,"PF"
"303",8,"Aug",1982,4,"control",NA,NA,"PF"
"304",8,"Aug",1983,3,"control",1,0.333333333333333,"PF"
"305",8,"Aug",1991,1,"control",1,1,"PF"
"306",8,"Aug",1992,1,"control",1,1,"PF"
"307",8,"Aug",1993,1,"control",NA,NA,"PF"
"308",8,"Aug",1994,1,"control",NA,NA,"PF"
"309",8,"Aug",1995,1,"control",1,1,"PF"
"310",8,"Aug",2001,2,"control",1,0.5,"PF"
"311",8,"Aug",2008,1,"control",NA,NA,"PF"
"312",8,"Aug",2012,1,"control",NA,NA,"PF"
"313",8,"Aug",2015,1,"control",1,1,"PF"
"314",9,"Sept",1977,3,"control",2,0.666666666666667,"PF"
"315",9,"Sept",1978,1,"control",NA,NA,"PF"
"316",9,"Sept",1979,1,"control",NA,NA,"PF"
"317",9,"Sept",1980,2,"control",2,1,"PF"
"318",9,"Sept",1982,3,"control",NA,NA,"PF"
"319",9,"Sept",1983,2,"control",NA,NA,"PF"
"320",9,"Sept",1991,1,"control",NA,NA,"PF"
"321",9,"Sept",1995,8,"control",3,0.375,"PF"
"322",9,"Sept",1996,5,"control",3,0.6,"PF"
"323",9,"Sept",2001,1,"control",1,1,"PF"
"324",9,"Sept",2007,2,"control",NA,NA,"PF"
"325",10,"Oct",1978,3,"control",NA,NA,"PF"
"326",10,"Oct",1980,3,"control",1,0.333333333333333,"PF"
"327",10,"Oct",1981,3,"control",1,0.333333333333333,"PF"
"328",10,"Oct",1982,2,"control",1,0.5,"PF"
"329",10,"Oct",1987,1,"control",NA,NA,"PF"
"330",10,"Oct",1989,1,"control",1,1,"PF"
"331",10,"Oct",1991,3,"control",NA,NA,"PF"
"332",10,"Oct",1992,1,"control",NA,NA,"PF"
"333",10,"Oct",1994,3,"control",NA,NA,"PF"
"334",10,"Oct",1995,4,"control",4,1,"PF"
"335",10,"Oct",1996,4,"control",1,0.25,"PF"
"336",10,"Oct",2001,3,"control",1,0.333333333333333,"PF"
"337",10,"Oct",2002,1,"control",1,1,"PF"
"338",10,"Oct",2005,1,"control",NA,NA,"PF"
"339",10,"Oct",2007,3,"control",NA,NA,"PF"
"340",10,"Oct",2008,1,"control",NA,NA,"PF"
"341",10,"Oct",2011,1,"control",1,1,"PF"
"342",11,"Nov",1977,5,"control",1,0.2,"PF"
"343",11,"Nov",1979,1,"control",NA,NA,"PF"
"344",11,"Nov",1980,3,"control",NA,NA,"PF"
"345",11,"Nov",1981,1,"control",NA,NA,"PF"
"346",11,"Nov",1982,5,"control",1,0.2,"PF"
"347",11,"Nov",1987,1,"control",NA,NA,"PF"
"348",11,"Nov",1989,1,"control",1,1,"PF"
"349",11,"Nov",1991,1,"control",NA,NA,"PF"
"350",11,"Nov",1994,2,"control",NA,NA,"PF"
"351",11,"Nov",1996,6,"control",NA,NA,"PF"
"352",11,"Nov",2002,1,"control",1,1,"PF"
"353",11,"Nov",2005,3,"control",NA,NA,"PF"
"354",11,"Nov",2007,3,"control",NA,NA,"PF"
"355",11,"Nov",2008,1,"control",NA,NA,"PF"
"356",11,"Nov",2010,1,"control",1,1,"PF"
"357",12,"Dec",1977,4,"control",NA,NA,"PF"
