"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1996,2,"exclosure",NA,NA,"PP"
"2",1,"Jan",2000,4,"exclosure",1,0.25,"PP"
"3",1,"Jan",2002,1,"exclosure",NA,NA,"PP"
"4",1,"Jan",2006,4,"exclosure",NA,NA,"PP"
"5",1,"Jan",2007,3,"exclosure",NA,NA,"PP"
"6",1,"Jan",2008,1,"exclosure",NA,NA,"PP"
"7",1,"Jan",2012,2,"exclosure",NA,NA,"PP"
"8",1,"Jan",2015,5,"exclosure",1,0.2,"PP"
"9",2,"Feb",1992,1,"exclosure",NA,NA,"PP"
"10",2,"Feb",1996,3,"exclosure",NA,NA,"PP"
"11",2,"Feb",2000,4,"exclosure",1,0.25,"PP"
"12",2,"Feb",2002,1,"exclosure",NA,NA,"PP"
"13",2,"Feb",2003,1,"exclosure",NA,NA,"PP"
"14",2,"Feb",2007,13,"exclosure",NA,NA,"PP"
"15",2,"Feb",2008,1,"exclosure",NA,NA,"PP"
"16",2,"Feb",2010,1,"exclosure",NA,NA,"PP"
"17",2,"Feb",2012,3,"exclosure",NA,NA,"PP"
"18",2,"Feb",2014,1,"exclosure",NA,NA,"PP"
"19",2,"Feb",2015,7,"exclosure",1,0.142857142857143,"PP"
"20",2,"Feb",2016,2,"exclosure",NA,NA,"PP"
"21",3,"Mar",1984,1,"exclosure",NA,NA,"PP"
"22",3,"Mar",1992,2,"exclosure",1,0.5,"PP"
"23",3,"Mar",1996,4,"exclosure",1,0.25,"PP"
"24",3,"Mar",2000,8,"exclosure",3,0.375,"PP"
"25",3,"Mar",2001,1,"exclosure",NA,NA,"PP"
"26",3,"Mar",2002,1,"exclosure",NA,NA,"PP"
"27",3,"Mar",2003,5,"exclosure",1,0.2,"PP"
"28",3,"Mar",2005,3,"exclosure",1,0.333333333333333,"PP"
"29",3,"Mar",2006,4,"exclosure",NA,NA,"PP"
"30",3,"Mar",2007,23,"exclosure",5,0.217391304347826,"PP"
"31",3,"Mar",2008,1,"exclosure",NA,NA,"PP"
"32",3,"Mar",2009,1,"exclosure",NA,NA,"PP"
"33",3,"Mar",2010,2,"exclosure",1,0.5,"PP"
"34",3,"Mar",2011,1,"exclosure",NA,NA,"PP"
"35",3,"Mar",2012,6,"exclosure",1,0.166666666666667,"PP"
"36",3,"Mar",2013,2,"exclosure",NA,NA,"PP"
"37",3,"Mar",2014,17,"exclosure",7,0.411764705882353,"PP"
"38",3,"Mar",2015,17,"exclosure",9,0.529411764705882,"PP"
"39",3,"Mar",2016,3,"exclosure",NA,NA,"PP"
"40",3,"Mar",2017,13,"exclosure",4,0.307692307692308,"PP"
"41",3,"Mar",2018,1,"exclosure",NA,NA,"PP"
"42",4,"Apr",1979,1,"exclosure",NA,NA,"PP"
"43",4,"Apr",1984,2,"exclosure",NA,NA,"PP"
"44",4,"Apr",1985,1,"exclosure",NA,NA,"PP"
"45",4,"Apr",1986,1,"exclosure",1,1,"PP"
"46",4,"Apr",1987,2,"exclosure",1,0.5,"PP"
"47",4,"Apr",1989,1,"exclosure",NA,NA,"PP"
"48",4,"Apr",1990,3,"exclosure",1,0.333333333333333,"PP"
"49",4,"Apr",1991,1,"exclosure",NA,NA,"PP"
"50",4,"Apr",1992,2,"exclosure",NA,NA,"PP"
"51",4,"Apr",1993,5,"exclosure",4,0.8,"PP"
"52",4,"Apr",1995,2,"exclosure",1,0.5,"PP"
"53",4,"Apr",1996,9,"exclosure",6,0.666666666666667,"PP"
"54",4,"Apr",1997,14,"exclosure",9,0.642857142857143,"PP"
"55",4,"Apr",1999,1,"exclosure",NA,NA,"PP"
"56",4,"Apr",2000,9,"exclosure",6,0.666666666666667,"PP"
"57",4,"Apr",2001,1,"exclosure",1,1,"PP"
"58",4,"Apr",2002,8,"exclosure",4,0.5,"PP"
"59",4,"Apr",2004,2,"exclosure",NA,NA,"PP"
"60",4,"Apr",2005,6,"exclosure",4,0.666666666666667,"PP"
"61",4,"Apr",2006,7,"exclosure",4,0.571428571428571,"PP"
"62",4,"Apr",2007,17,"exclosure",10,0.588235294117647,"PP"
"63",4,"Apr",2008,5,"exclosure",NA,NA,"PP"
"64",4,"Apr",2009,6,"exclosure",NA,NA,"PP"
"65",4,"Apr",2010,9,"exclosure",4,0.444444444444444,"PP"
"66",4,"Apr",2011,14,"exclosure",5,0.357142857142857,"PP"
"67",4,"Apr",2012,16,"exclosure",15,0.9375,"PP"
"68",4,"Apr",2013,21,"exclosure",4,0.19047619047619,"PP"
"69",4,"Apr",2014,15,"exclosure",12,0.8,"PP"
"70",4,"Apr",2015,28,"exclosure",22,0.785714285714286,"PP"
"71",4,"Apr",2016,8,"exclosure",2,0.25,"PP"
"72",4,"Apr",2017,11,"exclosure",11,1,"PP"
"73",4,"Apr",2018,12,"exclosure",NA,NA,"PP"
"74",4,"Apr",2019,6,"exclosure",3,0.5,"PP"
"75",5,"May",1979,1,"exclosure",NA,NA,"PP"
"76",5,"May",1984,1,"exclosure",1,1,"PP"
"77",5,"May",1985,1,"exclosure",1,1,"PP"
"78",5,"May",1986,1,"exclosure",1,1,"PP"
"79",5,"May",1988,2,"exclosure",1,0.5,"PP"
"80",5,"May",1989,1,"exclosure",1,1,"PP"
"81",5,"May",1990,1,"exclosure",1,1,"PP"
"82",5,"May",1991,3,"exclosure",2,0.666666666666667,"PP"
"83",5,"May",1992,6,"exclosure",5,0.833333333333333,"PP"
