"","month","Month","year","count","trt","repro","proportion","species"
"1",1,"Jan",1980,1,"exclosure",NA,NA,"RM"
"2",1,"Jan",1981,2,"exclosure",1,0.5,"RM"
"3",1,"Jan",1982,2,"exclosure",2,1,"RM"
"4",1,"Jan",1983,4,"exclosure",2,0.5,"RM"
"5",1,"Jan",1985,3,"exclosure",NA,NA,"RM"
"6",1,"Jan",1987,1,"exclosure",NA,NA,"RM"
"7",1,"Jan",1988,12,"exclosure",NA,NA,"RM"
"8",1,"Jan",1989,12,"exclosure",7,0.583333333333333,"RM"
"9",1,"Jan",1990,17,"exclosure",7,0.411764705882353,"RM"
"10",1,"Jan",1991,9,"exclosure",2,0.222222222222222,"RM"
"11",1,"Jan",1992,8,"exclosure",NA,NA,"RM"
"12",1,"Jan",1993,4,"exclosure",NA,NA,"RM"
"13",1,"Jan",1996,1,"exclosure",NA,NA,"RM"
"14",1,"Jan",1998,1,"exclosure",NA,NA,"RM"
"15",1,"Jan",1999,4,"exclosure",NA,NA,"RM"
"16",1,"Jan",2006,1,"exclosure",NA,NA,"RM"
"17",1,"Jan",2008,6,"exclosure",NA,NA,"RM"
"18",1,"Jan",2015,3,"exclosure",NA,NA,"RM"
"19",1,"Jan",2016,4,"exclosure",NA,NA,"RM"
"20",1,"Jan",2017,1,"exclosure",1,1,"RM"
"21",2,"Feb",1980,4,"exclosure",1,0.25,"RM"
"22",2,"Feb",1982,9,"exclosure",7,0.777777777777778,"RM"
"23",2,"Feb",1983,2,"exclosure",NA,NA,"RM"
"24",2,"Feb",1984,4,"exclosure",1,0.25,"RM"
"25",2,"Feb",1985,3,"exclosure",2,0.666666666666667,"RM"
"26",2,"Feb",1988,8,"exclosure",1,0.125,"RM"
"27",2,"Feb",1989,13,"exclosure",12,0.923076923076923,"RM"
"28",2,"Feb",1990,5,"exclosure",4,0.8,"RM"
"29",2,"Feb",1991,7,"exclosure",7,1,"RM"
"30",2,"Feb",1992,3,"exclosure",NA,NA,"RM"
"31",2,"Feb",1993,8,"exclosure",2,0.25,"RM"
"32",2,"Feb",1994,2,"exclosure",1,0.5,"RM"
"33",2,"Feb",1995,1,"exclosure",NA,NA,"RM"
"34",2,"Feb",1996,3,"exclosure",NA,NA,"RM"
"35",2,"Feb",1997,12,"exclosure",NA,NA,"RM"
"36",2,"Feb",1999,5,"exclosure",NA,NA,"RM"
"37",2,"Feb",2002,2,"exclosure",NA,NA,"RM"
"38",2,"Feb",2003,1,"exclosure",NA,NA,"RM"
