"","X","month","Month","year","count","trt","repro","proportion","species"
"1",5,1,"Jan",2002,11,"exclosure",1,0.0909090909090909,"PB"
"2",9,1,"Jan",2007,23,"exclosure",1,0.0434782608695652,"PB"
"3",11,1,"Jan",2009,9,"exclosure",1,0.111111111111111,"PB"
"4",19,2,"Feb",1999,16,"exclosure",1,0.0625,"PB"
"5",34,3,"Mar",1997,1,"exclosure",1,1,"PB"
"6",36,3,"Mar",1999,14,"exclosure",1,0.0714285714285714,"PB"
"7",46,3,"Mar",2009,7,"exclosure",1,0.142857142857143,"PB"
"8",54,4,"Apr",1997,2,"exclosure",1,0.5,"PB"
"9",68,4,"Apr",2017,1,"exclosure",1,1,"PB"
"10",70,4,"Apr",2019,3,"exclosure",1,0.333333333333333,"PB"
"11",83,5,"May",2010,1,"exclosure",1,1,"PB"
"12",88,5,"May",2016,2,"exclosure",1,0.5,"PB"
"13",89,5,"May",2017,2,"exclosure",1,0.5,"PB"
"14",109,6,"Jun",2016,4,"exclosure",1,0.25,"PB"
"15",110,6,"Jun",2017,1,"exclosure",1,1,"PB"
"16",146,8,"Aug",2015,4,"exclosure",1,0.25,"PB"
"17",147,8,"Aug",2016,4,"exclosure",1,0.25,"PB"
"18",148,8,"Aug",2017,5,"exclosure",1,0.2,"PB"
"19",150,8,"Aug",2019,3,"exclosure",1,0.333333333333333,"PB"
"20",153,9,"Sept",1998,10,"exclosure",1,0.1,"PB"
"21",163,9,"Sept",2008,16,"exclosure",1,0.0625,"PB"
"22",164,9,"Sept",2009,4,"exclosure",1,0.25,"PB"
"23",165,9,"Sept",2012,6,"exclosure",1,0.166666666666667,"PB"
"24",166,9,"Sept",2013,3,"exclosure",1,0.333333333333333,"PB"
"25",168,9,"Sept",2015,4,"exclosure",1,0.25,"PB"
"26",170,9,"Sept",2017,5,"exclosure",1,0.2,"PB"
"27",171,9,"Sept",2018,4,"exclosure",1,0.25,"PB"
"28",172,9,"Sept",2019,8,"exclosure",1,0.125,"PB"
"29",189,10,"Oct",2014,17,"exclosure",1,0.0588235294117647,"PB"
"30",197,11,"Nov",1998,14,"exclosure",1,0.0714285714285714,"PB"
"31",199,11,"Nov",2000,9,"exclosure",1,0.111111111111111,"PB"
"32",242,1,"Jan",2002,3,"control",1,0.333333333333333,"PB"
"33",246,1,"Jan",2007,11,"control",1,0.0909090909090909,"PB"
"34",252,2,"Feb",1997,1,"control",1,1,"PB"
"35",261,2,"Feb",2012,1,"control",1,1,"PB"
"36",265,3,"Mar",1998,3,"control",1,0.333333333333333,"PB"
"37",266,3,"Mar",1999,3,"control",1,0.333333333333333,"PB"
"38",269,3,"Mar",2002,12,"control",1,0.0833333333333333,"PB"
"39",272,3,"Mar",2005,10,"control",1,0.1,"PB"
"40",273,3,"Mar",2006,16,"control",1,0.0625,"PB"
"41",277,3,"Mar",2012,1,"control",1,1,"PB"
"42",278,3,"Mar",2014,1,"control",1,1,"PB"
"43",279,4,"Apr",1999,2,"control",1,0.5,"PB"
"44",283,4,"Apr",2004,4,"control",1,0.25,"PB"
"45",288,4,"Apr",2009,5,"control",1,0.2,"PB"
"46",289,4,"Apr",2012,2,"control",1,0.5,"PB"
"47",293,5,"May",2001,3,"control",1,0.333333333333333,"PB"
"48",305,6,"Jun",1997,3,"control",1,0.333333333333333,"PB"
"49",307,6,"Jun",1999,3,"control",1,0.333333333333333,"PB"
"50",318,6,"Jun",2012,2,"control",1,0.5,"PB"
"51",319,6,"Jun",2014,2,"control",1,0.5,"PB"
"52",320,6,"Jun",2015,2,"control",1,0.5,"PB"
"53",327,7,"Jul",2003,21,"control",1,0.0476190476190476,"PB"
"54",334,7,"Jul",2010,2,"control",1,0.5,"PB"
"55",345,8,"Aug",2006,1,"control",1,1,"PB"
"56",354,9,"Sept",1999,1,"control",1,1,"PB"
"57",356,9,"Sept",2001,13,"control",1,0.0769230769230769,"PB"
"58",360,9,"Sept",2005,33,"control",1,0.0303030303030303,"PB"
"59",361,9,"Sept",2006,2,"control",1,0.5,"PB"
"60",372,10,"Oct",1999,3,"control",1,0.333333333333333,"PB"
"61",391,11,"Nov",2000,3,"control",1,0.333333333333333,"PB"
"62",402,11,"Nov",2014,3,"control",1,0.333333333333333,"PB"
"63",3,1,"Jan",1985,1,"exclosure",1,1,"PE"
"64",5,1,"Jan",1989,2,"exclosure",1,0.5,"PE"
"65",6,1,"Jan",1990,4,"exclosure",1,0.25,"PE"
"66",10,1,"Jan",2005,1,"exclosure",1,1,"PE"
"67",14,1,"Jan",2012,2,"exclosure",1,0.5,"PE"
"68",16,1,"Jan",2015,3,"exclosure",1,0.333333333333333,"PE"
"69",20,1,"Jan",2020,3,"exclosure",1,0.333333333333333,"PE"
"70",22,2,"Feb",1988,3,"exclosure",1,0.333333333333333,"PE"
"71",23,2,"Feb",1989,4,"exclosure",1,0.25,"PE"
"72",28,2,"Feb",2007,1,"exclosure",1,1,"PE"
"73",30,2,"Feb",2012,2,"exclosure",1,0.5,"PE"
"74",37,3,"Mar",1985,1,"exclosure",1,1,"PE"
"75",43,3,"Mar",1992,1,"exclosure",1,1,"PE"
"76",53,4,"Apr",1982,1,"exclosure",1,1,"PE"
"77",56,4,"Apr",1989,1,"exclosure",1,1,"PE"
"78",58,4,"Apr",1991,1,"exclosure",1,1,"PE"
"79",59,4,"Apr",1996,1,"exclosure",1,1,"PE"
"80",60,4,"Apr",1997,2,"exclosure",1,0.5,"PE"
"81",61,4,"Apr",2002,1,"exclosure",1,1,"PE"
"82",62,4,"Apr",2005,1,"exclosure",1,1,"PE"
"83",63,4,"Apr",2006,2,"exclosure",1,0.5,"PE"
"84",65,4,"Apr",2008,2,"exclosure",1,0.5,"PE"
"85",66,4,"Apr",2012,1,"exclosure",1,1,"PE"
"86",70,4,"Apr",2017,1,"exclosure",1,1,"PE"
"87",77,5,"May",1991,1,"exclosure",1,1,"PE"
"88",78,5,"May",1997,1,"exclosure",1,1,"PE"
"89",82,5,"May",2008,1,"exclosure",1,1,"PE"
"90",86,5,"May",2018,1,"exclosure",1,1,"PE"
"91",88,6,"Jun",1989,4,"exclosure",1,0.25,"PE"
"92",89,6,"Jun",1990,1,"exclosure",1,1,"PE"
"93",90,6,"Jun",1991,1,"exclosure",1,1,"PE"
"94",92,6,"Jun",1996,1,"exclosure",1,1,"PE"
"95",93,6,"Jun",1997,1,"exclosure",1,1,"PE"
"96",96,6,"Jun",2014,2,"exclosure",1,0.5,"PE"
"97",98,6,"Jun",2016,1,"exclosure",1,1,"PE"
"98",99,7,"Jul",1979,1,"exclosure",1,1,"PE"
"99",101,7,"Jul",1988,2,"exclosure",1,0.5,"PE"
"100",103,7,"Jul",1990,1,"exclosure",1,1,"PE"
"101",104,7,"Jul",1991,1,"exclosure",1,1,"PE"
"102",106,7,"Jul",2013,1,"exclosure",1,1,"PE"
"103",107,7,"Jul",2015,2,"exclosure",1,0.5,"PE"
"104",109,8,"Aug",1984,1,"exclosure",1,1,"PE"
"105",110,8,"Aug",1987,1,"exclosure",1,1,"PE"
"106",113,8,"Aug",1998,1,"exclosure",1,1,"PE"
"107",114,8,"Aug",2007,2,"exclosure",1,0.5,"PE"
"108",119,9,"Sept",1979,1,"exclosure",1,1,"PE"
"109",120,9,"Sept",1980,1,"exclosure",1,1,"PE"
"110",126,9,"Sept",1991,1,"exclosure",1,1,"PE"
"111",129,9,"Sept",2007,1,"exclosure",1,1,"PE"
"112",130,9,"Sept",2013,1,"exclosure",1,1,"PE"
"113",134,10,"Oct",1983,1,"exclosure",1,1,"PE"
"114",138,10,"Oct",2001,2,"exclosure",1,0.5,"PE"
"115",142,10,"Oct",2007,5,"exclosure",1,0.2,"PE"
"116",143,10,"Oct",2011,1,"exclosure",1,1,"PE"
"117",147,10,"Oct",2019,1,"exclosure",1,1,"PE"
"118",151,11,"Nov",1988,2,"exclosure",1,0.5,"PE"
"119",155,11,"Nov",2001,2,"exclosure",1,0.5,"PE"
"120",160,11,"Nov",2012,2,"exclosure",1,0.5,"PE"
"121",164,11,"Nov",2018,1,"exclosure",1,1,"PE"
"122",167,12,"Dec",1985,1,"exclosure",1,1,"PE"
"123",171,12,"Dec",1991,2,"exclosure",1,0.5,"PE"
"124",175,12,"Dec",2006,2,"exclosure",1,0.5,"PE"
"125",178,12,"Dec",2013,3,"exclosure",1,0.333333333333333,"PE"
"126",181,1,"Jan",1987,1,"control",1,1,"PE"
"127",183,1,"Jan",1989,2,"control",1,0.5,"PE"
"128",186,1,"Jan",1996,1,"control",1,1,"PE"
"129",190,1,"Jan",2007,2,"control",1,0.5,"PE"
"130",200,2,"Feb",1983,1,"control",1,1,"PE"
"131",203,2,"Feb",1988,2,"control",1,0.5,"PE"
"132",206,2,"Feb",1996,3,"control",1,0.333333333333333,"PE"
"133",209,2,"Feb",2007,3,"control",1,0.333333333333333,"PE"
"134",210,2,"Feb",2009,1,"control",1,1,"PE"
"135",213,2,"Feb",2014,4,"control",1,0.25,"PE"
"136",216,2,"Feb",2017,1,"control",1,1,"PE"
"137",217,2,"Feb",2019,3,"control",1,0.333333333333333,"PE"
"138",218,3,"Mar",1978,1,"control",1,1,"PE"
"139",219,3,"Mar",1980,1,"control",1,1,"PE"
"140",221,3,"Mar",1987,1,"control",1,1,"PE"
"141",224,3,"Mar",1990,1,"control",1,1,"PE"
"142",228,3,"Mar",2005,1,"control",1,1,"PE"
"143",231,3,"Mar",2012,1,"control",1,1,"PE"
"144",239,4,"Apr",1981,1,"control",1,1,"PE"
"145",240,4,"Apr",1982,1,"control",1,1,"PE"
"146",241,4,"Apr",1983,2,"control",1,0.5,"PE"
"147",242,4,"Apr",1985,1,"control",1,1,"PE"
"148",243,4,"Apr",1986,1,"control",1,1,"PE"
"149",245,4,"Apr",1988,1,"control",1,1,"PE"
"150",246,4,"Apr",1989,1,"control",1,1,"PE"
"151",248,4,"Apr",1996,2,"control",1,0.5,"PE"
"152",249,4,"Apr",1997,1,"control",1,1,"PE"
"153",251,4,"Apr",2012,1,"control",1,1,"PE"
"154",252,4,"Apr",2013,1,"control",1,1,"PE"
"155",253,4,"Apr",2014,1,"control",1,1,"PE"
"156",257,5,"May",1982,1,"control",1,1,"PE"
"157",260,5,"May",1986,1,"control",1,1,"PE"
"158",262,5,"May",1988,1,"control",1,1,"PE"
"159",264,5,"May",1996,1,"control",1,1,"PE"
"160",266,5,"May",2003,2,"control",1,0.5,"PE"
"161",269,5,"May",2012,2,"control",1,0.5,"PE"
