"","X","month","Month","year","count","trt","repro","proportion","species"
"1",10,1,"Jan",2008,15,"exclosure",1,0.0666666666666667,"PB"
"2",14,1,"Jan",2012,2,"exclosure",1,0.5,"PB"
"3",27,2,"Feb",2008,13,"exclosure",1,0.0769230769230769,"PB"
"4",29,2,"Feb",2010,1,"exclosure",1,1,"PB"
"5",31,2,"Feb",2013,6,"exclosure",1,0.166666666666667,"PB"
"6",34,2,"Feb",2016,2,"exclosure",1,0.5,"PB"
"7",35,2,"Feb",2017,2,"exclosure",1,0.5,"PB"
"8",38,3,"Mar",1997,3,"exclosure",1,0.333333333333333,"PB"
"9",51,3,"Mar",2010,1,"exclosure",1,1,"PB"
"10",52,3,"Mar",2012,2,"exclosure",1,0.5,"PB"
"11",57,3,"Mar",2017,1,"exclosure",1,1,"PB"
"12",58,3,"Mar",2018,1,"exclosure",1,1,"PB"
"13",59,3,"Mar",2019,1,"exclosure",1,1,"PB"
"14",72,4,"Apr",2012,3,"exclosure",1,0.333333333333333,"PB"
"15",76,4,"Apr",2017,1,"exclosure",1,1,"PB"
"16",78,4,"Apr",2019,1,"exclosure",1,1,"PB"
"17",79,5,"May",1997,9,"exclosure",1,0.111111111111111,"PB"
"18",86,5,"May",2005,5,"exclosure",1,0.2,"PB"
"19",91,5,"May",2011,2,"exclosure",1,0.5,"PB"
"20",92,5,"May",2012,1,"exclosure",1,1,"PB"
"21",93,5,"May",2013,7,"exclosure",1,0.142857142857143,"PB"
"22",94,5,"May",2014,2,"exclosure",1,0.5,"PB"
"23",96,5,"May",2016,2,"exclosure",1,0.5,"PB"
"24",98,5,"May",2018,1,"exclosure",1,1,"PB"
"25",100,6,"Jun",1998,7,"exclosure",1,0.142857142857143,"PB"
"26",115,6,"Jun",2016,2,"exclosure",1,0.5,"PB"
"27",116,6,"Jun",2017,1,"exclosure",1,1,"PB"
"28",117,6,"Jun",2018,3,"exclosure",1,0.333333333333333,"PB"
"29",119,7,"Jul",1997,33,"exclosure",1,0.0303030303030303,"PB"
"30",130,7,"Jul",2009,10,"exclosure",1,0.1,"PB"
"31",137,8,"Aug",2000,10,"exclosure",1,0.1,"PB"
"32",149,8,"Aug",2016,1,"exclosure",1,1,"PB"
"33",154,9,"Sept",1999,2,"exclosure",1,0.5,"PB"
"34",164,9,"Sept",2009,6,"exclosure",1,0.166666666666667,"PB"
"35",168,9,"Sept",2014,3,"exclosure",1,0.333333333333333,"PB"
"36",169,9,"Sept",2015,5,"exclosure",1,0.2,"PB"
"37",170,9,"Sept",2016,1,"exclosure",1,1,"PB"
"38",171,9,"Sept",2017,1,"exclosure",1,1,"PB"
"39",172,9,"Sept",2018,1,"exclosure",1,1,"PB"
"40",176,10,"Oct",1998,16,"exclosure",1,0.0625,"PB"
"41",181,10,"Oct",2003,11,"exclosure",1,0.0909090909090909,"PB"
"42",187,10,"Oct",2009,6,"exclosure",1,0.166666666666667,"PB"
"43",189,10,"Oct",2012,8,"exclosure",1,0.125,"PB"
"44",194,10,"Oct",2018,1,"exclosure",1,1,"PB"
"45",196,11,"Nov",1998,12,"exclosure",1,0.0833333333333333,"PB"
"46",199,11,"Nov",2001,19,"exclosure",1,0.0526315789473684,"PB"
"47",202,11,"Nov",2004,3,"exclosure",1,0.333333333333333,"PB"
"48",205,11,"Nov",2007,23,"exclosure",1,0.0434782608695652,"PB"
"49",208,11,"Nov",2012,5,"exclosure",1,0.2,"PB"
"50",212,11,"Nov",2016,1,"exclosure",1,1,"PB"
"51",219,12,"Dec",2001,8,"exclosure",1,0.125,"PB"
"52",223,12,"Dec",2005,15,"exclosure",1,0.0666666666666667,"PB"
"53",239,1,"Jan",2005,7,"control",1,0.142857142857143,"PB"
"54",248,2,"Feb",1997,5,"control",1,0.2,"PB"
"55",253,2,"Feb",2004,3,"control",1,0.333333333333333,"PB"
"56",256,2,"Feb",2009,1,"control",1,1,"PB"
"57",259,2,"Feb",2013,2,"control",1,0.5,"PB"
"58",274,3,"Mar",2009,1,"control",1,1,"PB"
"59",276,3,"Mar",2012,2,"control",1,0.5,"PB"
"60",277,3,"Mar",2013,3,"control",1,0.333333333333333,"PB"
"61",279,3,"Mar",2015,8,"control",1,0.125,"PB"
"62",281,4,"Apr",1999,2,"control",1,0.5,"PB"
"63",289,4,"Apr",2010,1,"control",1,1,"PB"
"64",290,4,"Apr",2013,1,"control",1,1,"PB"
"65",292,4,"Apr",2015,1,"control",1,1,"PB"
"66",294,5,"May",1998,1,"control",1,1,"PB"
"67",295,5,"May",1999,2,"control",1,0.5,"PB"
"68",299,5,"May",2004,2,"control",1,0.5,"PB"
"69",300,5,"May",2005,3,"control",1,0.333333333333333,"PB"
"70",301,5,"May",2006,6,"control",1,0.166666666666667,"PB"
"71",304,5,"May",2009,6,"control",1,0.166666666666667,"PB"
"72",305,5,"May",2010,1,"control",1,1,"PB"
"73",306,5,"May",2012,4,"control",1,0.25,"PB"
"74",313,6,"Jun",2001,4,"control",1,0.25,"PB"
"75",317,6,"Jun",2005,5,"control",1,0.2,"PB"
"76",322,6,"Jun",2014,3,"control",1,0.333333333333333,"PB"
"77",323,6,"Jun",2015,2,"control",1,0.5,"PB"
"78",328,7,"Jul",2002,11,"control",1,0.0909090909090909,"PB"
"79",335,7,"Jul",2009,5,"control",1,0.2,"PB"
"80",336,7,"Jul",2012,3,"control",1,0.333333333333333,"PB"
"81",337,7,"Jul",2013,1,"control",1,1,"PB"
"82",341,8,"Aug",2000,14,"control",1,0.0714285714285714,"PB"
"83",345,8,"Aug",2005,12,"control",1,0.0833333333333333,"PB"
"84",346,8,"Aug",2006,1,"control",1,1,"PB"
