"","recordID","month","day","year","period","plot","note1","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3","prevrt","prevlet","nestdir","neststk","note4","note5","treatment","resourcetreatment","anttreatment","Month"
"1",7,7,16,1977,1,2,NA,31,"PE","F","","","","","P","","",NA,NA,"0","","0","","0","0","",0,"","","control","none","none","Jul"
"2",81,8,19,1977,2,4,NA,75,"PF","F","","","","S","","","",14,8,"0","","0","","0","0","",0,"","","control","none","none","Aug"
"3",172,9,11,1977,3,22,NA,42,"PF","F","","","","","","E","",NA,8,"0","","0","","0","0","",0,"","","control","none","none","Sept"
"4",216,9,12,1977,3,4,NA,77,"PF","F","","","","","","R","",13,9,"0","","0","","0","0","",0,"","","control","none","none","Sept"
"5",358,11,12,1977,5,13,NA,43,"PF","F","","","","","P","","",16,7,"0","","0","","0","0","",0,"","","control","large_seeds","none","Nov"
"6",662,3,11,1978,9,13,NA,47,"PF","F","","","","P","","","",15,8,"8000","","0","","0","0","",0,"","","control","large_seeds","none","Mar"
"7",673,3,11,1978,9,2,NA,77,"PE","F","","","","","P","","",NA,29,"4508","","0","","0","0","",0,"","","control","small_seeds","none","Mar"
"8",744,4,8,1978,-10,20,9,NA,"PE","F","","","","","P","","",21,NA,"4654","","0","","0","0","",0,"","","control","mixed_seeds","none","Apr"
"9",883,5,18,1978,11,17,NA,17,"PM","F","","","","","P","","",20,22,"1402","","0","","0","0","",0,"","","control","none","all_ants","May"
"10",920,5,19,1978,11,8,NA,35,"PF","F","","","","","","E","",15,7,"9001","","0","","0","0","",0,"","","control","none","rugosus","May"
"11",1318,10,7,1978,16,11,NA,23,"PP","F","","","","","P","","",21,15,"7110","","0","","0","0","",0,"","","control","none","none","Oct"
"12",1657,2,25,1979,20,15,NA,56,"PM","F","","","","","P","","",19,24,"1607","","0","","0","0","",0,"","","exclosure","none","rugosus","Feb"
"13",1686,3,31,1979,21,13,NA,36,"PF","F","","","","","P","","",16,7,"103","","0","","0","0","",0,"","","control","large_seeds","none","Mar"
"14",1688,3,31,1979,21,22,NA,37,"PF","F","","","","S","P","","",20,7,"3","","0","","0","0","",0,"","","control","small_seeds","none","Mar"
"15",1796,5,29,1979,23,21,NA,45,"PF","F","","","","","","E","",15,NA,"2","","0","","0","0","",0,"","","exclosure","none","rugosus","May"
"16",1823,5,30,1979,23,15,NA,32,"PP","F","","","","","","E","",22,NA,"110","","0","","0","0","",0,"","","exclosure","none","rugosus","May"
"17",1871,7,3,1979,24,21,NA,67,"PF","F","","","","","","E","",15,7,"3","","0","","0","0","",0,"","","exclosure","none","rugosus","Jul"
"18",1873,7,3,1979,24,23,NA,67,"PE","F","","","","","P","","",20,27,"0","","0","","0","0","",NA,"UT","E","removal","none","all_ants","Jul"
"19",1895,7,4,1979,24,15,NA,53,"PP","F","","","","","","E","",20,16,"110","","0","","0","0","",0,"","","exclosure","none","rugosus","Jul"
"20",1907,7,24,1979,25,19,NA,16,"PE","F","","","","","P","","",19,24,"1690","","0","","0","0","",0,"","","exclosure","none","none","Jul"
"21",1916,7,24,1979,25,20,NA,61,"PF","F","","","","","P","","",20,9,"-1","","0","","0","0","",0,"","","control","mixed_seeds","none","Jul"
"22",1946,7,26,1979,25,15,NA,25,"PP","F","","","","","","E","",22,16,"5000","","0","","0","0","",0,"","","exclosure","none","rugosus","Jul"
"23",2036,9,22,1979,27,21,NA,72,"PE","F","","","","","P","","",19,24,"1690","","0","","0","0","",0,"","","exclosure","none","rugosus","Sept"
"24",2061,9,23,1979,27,3,NA,61,"PF","F","","","","S","","","",15,7,"111","","0","","0","0","",0,"","","exclosure","none","none","Sept"
