"","Month","species","total_n","total_rep","total_prop","trt","month"
"1","Apr","PB",92,54,0.58695652173913,"control","4"
"2","Apr","PB",193,117,0.606217616580311,"exclosure","4"
"3","Apr","PE",35,22,0.628571428571429,"control","4"
"4","Apr","PE",38,28,0.736842105263158,"exclosure","4"
"5","Apr","PF",28,13,0.464285714285714,"control","4"
"6","Apr","PF",54,35,0.648148148148148,"exclosure","4"
"7","Apr","PM",16,11,0.6875,"control","4"
"8","Apr","PM",18,11,0.611111111111111,"exclosure","4"
"9","Apr","PP",281,111,0.395017793594306,"control","4"
"10","Apr","PP",246,130,0.528455284552846,"exclosure","4"
"11","Apr","RM",41,24,0.585365853658537,"control","4"
"12","Apr","RM",68,50,0.735294117647059,"exclosure","4"
"13","Aug","PB",112,15,0.133928571428571,"control","8"
"14","Aug","PB",292,54,0.184931506849315,"exclosure","8"
"15","Aug","PE",13,7,0.538461538461538,"control","8"
"16","Aug","PE",16,11,0.6875,"exclosure","8"
"17","Aug","PF",23,8,0.347826086956522,"control","8"
"18","Aug","PF",35,20,0.571428571428571,"exclosure","8"
"19","Aug","PM",2,1,0.5,"control","8"
"20","Aug","PM",6,2,0.333333333333333,"exclosure","8"
"21","Aug","PP",638,157,0.246081504702194,"control","8"
"22","Aug","PP",630,207,0.328571428571429,"exclosure","8"
"23","Aug","RM",8,8,1,"control","8"
"24","Aug","RM",14,10,0.714285714285714,"exclosure","8"
"25","Dec","PB",124,10,0.0806451612903226,"control","12"
"26","Dec","PB",310,54,0.174193548387097,"exclosure","12"
"27","Dec","PE",33,16,0.484848484848485,"control","12"
"28","Dec","PE",29,10,0.344827586206897,"exclosure","12"
"29","Dec","PF",18,3,0.166666666666667,"control","12"
"30","Dec","PF",43,4,0.0930232558139535,"exclosure","12"
"31","Dec","PM",3,0,0,"control","12"
"32","Dec","PM",15,3,0.2,"exclosure","12"
"33","Dec","PP",62,9,0.145161290322581,"control","12"
"34","Dec","PP",66,12,0.181818181818182,"exclosure","12"
"35","Dec","RM",35,13,0.371428571428571,"control","12"
"36","Dec","RM",81,35,0.432098765432099,"exclosure","12"
"37","Feb","PB",96,12,0.125,"control","2"
"38","Feb","PB",216,32,0.148148148148148,"exclosure","2"
"39","Feb","PE",49,21,0.428571428571429,"control","2"
"40","Feb","PE",35,17,0.485714285714286,"exclosure","2"
"41","Feb","PF",14,6,0.428571428571429,"control","2"
"42","Feb","PF",40,19,0.475,"exclosure","2"
"43","Feb","PM",4,1,0.25,"control","2"
"44","Feb","PM",19,8,0.421052631578947,"exclosure","2"
"45","Feb","PP",39,3,0.0769230769230769,"control","2"
"46","Feb","PP",38,2,0.0526315789473684,"exclosure","2"
"47","Feb","RM",63,24,0.380952380952381,"control","2"
